Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
46,"Blakiston, Lachlan",26y 299d,3 (0-0-3 0.00%),,←,
30,"Caddy, Nate",19y 356d,25 (10-0-15 40.00%),27 (1.08),←,
6,"Caldwell, Jye",24y 280d,89 (34-1-54 38.76%),31 (0.35),78 (31-1-46 40.38%),30 (0.38)
36,"Clarke, Angus",19y 58d,6 (1-0-5 16.67%),4 (0.67),←,
22,"Durham, Sam",23y 361d,84 (38-1-45 45.83%),27 (0.32),←,
28,"Duursma, Xavier",24y 363d,103 (61-1-41 59.71%),49 (0.48),30 (14-1-15 48.33%),16 (0.53)
17,"Goldstein, Todd",37y 4d,338 (141-3-194 42.16%),160 (0.47),23 (11-1-11 50.00%),3 (0.13)
11,"Gresham, Jade",27y 315d,171 (79-2-90 46.78%),164 (0.96),35 (15-1-19 44.29%),28 (0.80)
8,"Hobbs, Ben",21y 292d,61 (25-1-35 41.80%),21 (0.34),←,
40,"Johnson, Zak",18y 193d,5 (0-0-5 0.00%),,←,
10,"Kako, Isaac",19y 120d,15 (6-0-9 40.00%),9 (0.60),←,
15,"Laverde, Jayden",29y 84d,138 (59-1-78 43.12%),38 (0.28),←,
34,"Lual, Luamon",20y 99d,4 (0-0-4 0.00%),3 (0.75),←,
37,"Martin, Nic",24y 93d,82 (35-1-46 43.29%),62 (0.76),←,
26,"May, Archie",20y 312d,3 (0-0-3 0.00%),5 (1.67),←,
1,"McGrath, Andrew",27y 33d,172 (80-2-90 47.09%),20 (0.12),←,
7,"Merrett, Zach",29y 275d,244 (105-3-136 43.65%),86 (0.35),←,
16,"Perkins, Archie",23y 101d,94 (39-0-55 41.49%),60 (0.64),←,
25,"Prior, Jaxon",24y 31d,54 (34-1-19 63.89%),11 (0.20),15 (6-0-9 40.00%),
14,"Ridley, Jordan",26y 258d,101 (43-1-57 43.07%),2 (0.02),←,
21,"Roberts, Archie",19y 229d,19 (7-0-12 36.84%),3 (0.16),←,
12,"Setterfield, Will",27y 150d,83 (32-0-51 38.55%),15 (0.18),26 (10-0-16 38.46%),3 (0.12)
20,"Wright, Peter",28y 300d,144 (45-1-98 31.60%),225 (1.56),78 (32-1-45 41.67%),140 (1.79)
Totals,Totals,24y 216d,2038 (874-19-1145 42.89%),1022 (0.50),,
C,"Scott, Brad",49y 63d,272 (134-1-137 49.45%),,61 (28-1-32 46.72%),
