Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
31,"Ball, Matthew",22y 92d,6 (1-0-5 16.67%),2 (0.33),←,
27,"Barker, John",29y 94d,150 (61-1-88 41.00%),114 (0.76),95 (54-0-41 56.84%),101 (1.06)
10,"Bateman, Chance",22y 337d,32 (16-0-16 50.00%),6 (0.19),←,
20,"Beaumont, Simon",28y 162d,161 (74-0-87 45.96%),90 (0.56),9 (2-0-7 22.22%),1 (0.11)
30,"Brown, Campbell",20y 269d,31 (12-0-19 38.71%),23 (0.74),←,
39,"Campbell, Robert",21y 356d,24 (12-0-12 50.00%),,←,
9,"Crawford, Shane",29y 257d,231 (115-2-114 50.22%),183 (0.79),←,
24,"Croad, Trent",24y 75d,130 (66-1-63 51.15%),145 (1.12),92 (46-1-45 50.54%),85 (0.92)
1,"Everitt, Peter",30y 20d,203 (82-2-119 40.89%),330 (1.63),23 (9-0-14 39.13%),30 (1.30)
34,"Graham, Mark",31y 71d,212 (101-2-109 48.11%),60 (0.28),←,
8,"Jacobs, Danny",23y 333d,87 (56-1-30 64.94%),26 (0.30),6 (2-0-4 33.33%),3 (0.50)
22,"Kane, Ben",21y 62d,8 (3-0-5 37.50%),1 (0.13),←,
18,"Ladson, Rick",20y 95d,8 (4-0-4 50.00%),8 (1.00),←,
37,"Lekkas, Angelo",27y 329d,158 (71-1-86 45.25%),102 (0.65),←,
12,"Lonie, Nathan",21y 80d,42 (17-0-25 40.48%),20 (0.48),←,
5,"Mitchell, Sam",21y 224d,39 (19-0-20 48.72%),8 (0.21),←,
40,"Osborne, Michael",21y 299d,29 (11-0-18 37.93%),5 (0.17),←,
16,"Ries, Nick",21y 314d,47 (23-0-24 48.94%),14 (0.30),←,
11,"Smith, Joel",27y 20d,152 (76-1-75 50.33%),78 (0.51),94 (47-1-46 50.53%),27 (0.29)
4,"Tallis, Rayden",28y 349d,160 (75-0-85 46.88%),26 (0.16),←,
21,"Vandenberg, Richard",27y 130d,92 (43-1-48 47.28%),43 (0.47),←,
6,"Williams, Mark",21y 40d,21 (8-0-13 38.10%),27 (1.29),←,
Totals,Totals,24y 282d,2023 (946-12-1065 46.76%),1311 (0.65),,
C,"Schwab, Peter",43y 244d,101 (52-0-49 51.49%),,←,
