St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",23y 326d,72 (25-1-46 35.42%),17 (0.24),←,
14,"Ball, Luke",19y 323d,19 (12-0-7 63.16%),11 (0.58),←,
6,"Black, Heath",24y 320d,106 (31-0-75 29.25%),44 (0.42),37 (13-0-24 35.14%),9 (0.24)
27,"Blake, Jason",23y 28d,43 (14-1-28 33.72%),9 (0.21),←,
26,"Dal Santo, Nick",20y 50d,29 (11-1-17 39.66%),14 (0.48),←,
9,"Gehrig, Fraser",28y 40d,171 (83-1-87 48.83%),244 (1.43),56 (20-0-36 35.71%),85 (1.52)
18,"Goddard, Brendon",18y 328d,21 (12-0-9 57.14%),6 (0.29),←,
2,"Hamill, Aaron",26y 236d,154 (71-0-83 46.10%),192 (1.25),62 (22-0-40 35.48%),78 (1.26)
35,"Harvey, Robert",32y 235d,280 (133-3-144 48.04%),162 (0.58),←,
7,"Hayes, Lenny",24y 89d,96 (32-2-62 34.38%),40 (0.42),←,
5,"Jones, Austinn",27y 197d,182 (75-2-105 41.76%),119 (0.65),←,
33,"Knobel, Trent",23y 325d,33 (17-1-15 53.03%),4 (0.12),20 (8-1-11 42.50%),4 (0.20)
23,"Koschitzke, Justin",21y 205d,44 (16-0-28 36.36%),17 (0.39),←,
31,"Maguire, Matt",19y 318d,32 (13-0-19 40.63%),8 (0.25),←,
44,"Milne, Stephen",24y 35d,55 (15-1-39 28.18%),107 (1.95),←,
1,"Peckett, Justin",31y 190d,207 (83-2-122 40.58%),40 (0.19),←,
19,"Penny, Luke",23y 64d,54 (28-0-26 51.85%),5 (0.09),19 (13-0-6 68.42%),
17,"Powell, Stephen",27y 218d,99 (60-1-38 61.11%),83 (0.84),25 (14-0-11 56.00%),19 (0.76)
12,"Riewoldt, Nick",21y 178d,53 (20-1-32 38.68%),62 (1.17),←,
40,"Schwarze, Troy",22y 111d,37 (10-1-26 28.38%),6 (0.16),←,
4,"Thompson, Andrew",31y 174d,151 (60-2-89 40.40%),85 (0.56),←,
13,"Voss, Brett",26y 50d,94 (39-2-53 42.55%),31 (0.33),59 (20-1-38 34.75%),20 (0.34)
Totals,Totals,24y 250d,2032 (860-22-1150 42.32%),1306 (0.64),,
C,"Thomas, Grant",46y 58d,54 (20-1-33 37.96%),,←,
