Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs,Hit Outs
Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Aarts, Jake",-,-,-,,-,,,,,-,,,,,,-,-,,,,,,,
"Baker, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Balta, Noah",-,-,1,8,7,2,-,-,-,,,-,5,,,,1,-,3,-,-,-,-,27.0
"Bolton, Shai",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Broad, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Castagna, Jason",-,-,-,-,-,-,-,-,-,-,-,,,,-,-,,,,-,-,-,,
"Clarke, Judson",,,,,,,,,,,,-,-,-,,,,,,,,,,
"Collier-Dawkins, Riley",,,,,,-,-,,,,,,,,,,,,,,,,,
"Cotchin, Trent",-,-,-,-,-,-,,-,-,-,1,-,-,,,,-,-,-,-,-,-,-,1.0
"Cumberland, Noah",,,,,,,,,,,-,,,,,-,-,-,-,-,-,-,-,
"Dow, Thomson",,-,-,-,-,-,,,,,,,,,,-,,,,,,,,
"Edwards, Shane",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Gibcus, Josh",-,-,-,-,,-,-,-,,-,-,-,-,-,-,,4,,,-,-,-,-,4.0
"Graham, Jack",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,
"Grimes, Dylan",-,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Lambert, Kane",,,,,,,-,-,-,-,,-,-,,-,,,,,,,,,
"Lynch, Tom",-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,
"Mansell, Rhyan",,,,,,-,,-,,,,,,,,,,,,,,,,
"Martin, Dustin",-,,,,,,,-,-,-,-,-,,-,-,,,,,,,,-,
"McIntosh, Kamdyn",,-,-,-,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Miller, Ben",,-,,-,-,,,,,,,,,,,-,-,-,4,10,13,6,14,47.0
"Nankervis, Toby",22,21,25,26,34,24,25,33,35,20,24,29,26,25,22,18,36,10,31,44,34,23,41,628.0
"Nyuon, Bigoa",,,,,,,,,-,,,,,,,,,,,,,,,
"Parker, Matthew",,-,-,-,-,-,,,,,,,,,,,,,,,,,,
"Pickett, Marlion",-,-,-,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Prestia, Dion",-,,,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Ralphsmith, Hugo",-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,,
"Riewoldt, Jack",-,,,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4.0
"Rioli, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rioli, Maurice",,,,,,,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,
"Ross, Jack",-,-,-,-,-,-,-,,,-,-,,,-,-,,,,-,-,,-,-,
"Short, Jayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Soldo, Ivan",7,11,12,,,,20,16,25,16,16,11,,8,9,12,,22,,,,,,185.0
"Sonsie, Tyler",,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,
"Stack, Sydney",,,,,,,-,-,,,,,,,,,,,,,,,,
"Tarrant, Robbie",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vlastuin, Nick",,,,,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
Totals,29,32,38,36,41,27,45,49,60,36,41,41,32,33,31,30,41,32,38,54,47,29,55,897.0
Opponent,CA,GW,SK,WB,AD,ME,WC,CW,HW,ES,SY,PA,CA,GE,WC,GC,NM,FR,BL,PA,HW,ES,BL,
