Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",27y 227d,154 (62-2-90 40.91%),39 (0.25),←,
20,"Black, Simon",34y 88d,321 (173-4-144 54.52%),171 (0.53),←,
16,"Brown, Jonathan",31y 244d,241 (139-3-99 58.30%),565 (2.34),←,
42,"Clarke, Justin",19y 224d,8 (3-0-5 37.50%),,←,
1,"Docherty, Sam",19y 256d,7 (2-0-5 28.57%),,←,
41,"Golby, Mitch",21y 270d,32 (12-0-20 37.50%),5 (0.16),←,
11,"Hanley, Pearce",24y 227d,68 (20-0-48 29.41%),20 (0.29),←,
2,"Harwood, Ryan",21y 327d,34 (11-0-23 32.35%),4 (0.12),←,
35,"Lester, Ryan",20y 308d,31 (12-0-19 38.71%),6 (0.19),←,
23,"Leuenberger, Matthew",25y 23d,80 (27-1-52 34.38%),18 (0.22),←,
19,"Lisle, Jordan",22y 353d,16 (9-0-7 56.25%),12 (0.75),11 (5-0-6 45.45%),11 (1.00)
36,"Maguire, Matt",29y 31d,146 (70-1-75 48.29%),19 (0.13),47 (16-0-31 34.04%),
9,"McGrath, Ashley",30y 41d,201 (95-2-104 47.76%),155 (0.77),←,
3,"Moloney, Brent",29y 153d,157 (53-3-101 34.71%),44 (0.28),12 (4-0-8 33.33%),7 (0.58)
24,"Patfull, Joel",28y 205d,152 (60-3-89 40.46%),22 (0.14),←,
31,"Polkinghorne, James",24y 160d,91 (34-1-56 37.91%),53 (0.58),←,
30,"Redden, Jack",22y 203d,89 (31-1-57 35.39%),42 (0.47),←,
10,"Rich, Daniel",23y 23d,89 (34-1-54 38.76%),58 (0.65),←,
38,"Rockliff, Tom",23y 128d,74 (22-0-52 29.73%),41 (0.55),←,
14,"Staker, Brent",29y 38d,145 (74-1-70 51.38%),101 (0.70),35 (10-0-25 28.57%),17 (0.49)
26,"Yeo, Elliot",19y 272d,20 (7-0-13 35.00%),1 (0.05),←,
15,"Zorko, Dayne",24y 141d,29 (12-0-17 41.38%),28 (0.97),←,
Totals,Totals,25y 63d,2185 (962-23-1200 44.03%),1404 (0.64),,
C,"Voss, Michael",37y 358d,103 (39-1-63 38.35%),,←,
