North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
30,"Comben, Charlie",23y 259d,32 (6-0-26 18.75%),8 (0.25),←,
4,"Corr, Aidan",30y 323d,166 (55-3-108 34.04%),3 (0.02),68 (8-0-60 11.76%),1 (0.01)
25,"Curtis, Paul",22y 32d,63 (8-0-55 12.70%),69 (1.10),←,
5,"Daniel, Caleb",28y 272d,196 (106-0-90 54.08%),49 (0.25),4 (1-0-3 25.00%),
28,"Darling, Jack",32y 296d,302 (158-1-143 52.48%),536 (1.77),4 (1-0-3 25.00%),4 (1.00)
9,"Davies-Uniacke, Luke",25y 301d,112 (22-1-89 20.09%),43 (0.38),←,
46,"Hansen, Robert",21y 23d,12 (2-0-10 16.67%),4 (0.33),←,
17,"Hardeman, Riley",20y 37d,4 (0-0-4 0.00%),,←,
41,"Konstanty, Jacob",20y 147d,4 (1-0-3 25.00%),3 (0.75),←,
20,"Larkey, Nick",26y 303d,121 (24-1-96 20.25%),251 (2.07),←,
19,"Logue, Griffin",26y 357d,83 (30-1-52 36.75%),10 (0.12),19 (2-0-17 10.53%),1 (0.05)
11,"McDonald, Luke",30y 55d,207 (71-0-136 34.30%),18 (0.09),←,
10,"McKercher, Colby",19y 358d,20 (3-0-17 15.00%),2 (0.10),←,
26,"Parker, Luke",32y 162d,297 (181-2-114 61.28%),216 (0.73),4 (1-0-3 25.00%),3 (0.75)
24,"Powell, Tom",23y 34d,72 (10-1-61 14.58%),26 (0.36),←,
8,"Scott, Bailey",24y 270d,105 (13-1-91 12.86%),34 (0.32),←,
3,"Sheezel, Harry",20y 174d,48 (7-0-41 14.58%),17 (0.35),←,
12,"Simpkin, Jy",27y 31d,156 (41-1-114 26.60%),65 (0.42),←,
15,"Stephens, Dylan",24y 87d,62 (28-0-34 45.16%),12 (0.19),19 (3-0-16 15.79%),1 (0.05)
13,"Tucker, Darcy",28y 72d,153 (47-0-106 30.72%),44 (0.29),45 (5-0-40 11.11%),9 (0.20)
35,"Whitlock, Matt",18y 324d,1 (0-0-1 0.00%),,←,
38,"Xerri, Tristan",26y 21d,60 (10-1-49 17.50%),22 (0.37),←,
44,"Zurhaar, Cameron",26y 318d,125 (28-1-96 22.80%),169 (1.35),←,
Totals,Totals,25y 106d,2401 (851-14-1536 35.44%),1601 (0.67),,
C,"Clarkson, Alastair",56y 343d,430 (235-4-191 55.12%),,40 (7-0-33 17.50%),
