North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
3,"Anderson, Jed",28y 179d,97 (38-0-59 39.18%),32 (0.33),87 (31-0-56 35.63%),28 (0.32)
34,"Archer, Jackson",19y 203d,2 (0-0-2 0.00%),,←,
16,"Bonar, Aiden",23y 145d,31 (6-0-25 19.35%),5 (0.16),25 (3-0-22 12.00%),
21,"Coleman-Jones, Callum",23y 48d,17 (5-1-11 32.35%),14 (0.82),8 (1-0-7 12.50%),3 (0.38)
9,"Davies-Uniacke, Luke",23y 53d,68 (16-1-51 24.26%),19 (0.28),←,
42,"Dawson, Kallan",24y 9d,1 (0-0-1 0.00%),,←,
22,"Goldstein, Todd",34y 30d,292 (128-2-162 44.18%),152 (0.52),←,
18,"Greenwood, Hugh",30y 147d,101 (42-2-57 42.57%),47 (0.47),18 (2-0-16 11.11%),2 (0.11)
6,"Horne-Francis, Jason",19y 40d,15 (2-0-13 13.33%),4 (0.27),←,
20,"Larkey, Nick",24y 55d,68 (17-1-50 25.74%),111 (1.63),←,
35,"Lazzaro, Charlie",20y 128d,21 (4-0-17 19.05%),3 (0.14),←,
11,"McDonald, Luke",27y 172d,156 (65-0-91 41.67%),17 (0.11),←,
23,"McKay, Ben",24y 219d,50 (7-1-42 15.00%),1 (0.02),←,
24,"Powell, Tom",20y 151d,28 (3-1-24 12.50%),9 (0.32),←,
8,"Scott, Bailey",22y 22d,52 (6-1-45 12.50%),21 (0.40),←,
12,"Simpkin, Jy",24y 148d,113 (34-1-78 30.53%),42 (0.37),←,
36,"Spicer, Phoenix",20y 182d,6 (1-0-5 16.67%),1 (0.17),←,
2,"Stephenson, Jaidyn",23y 197d,87 (38-1-48 44.25%),96 (1.10),33 (4-1-28 13.64%),20 (0.61)
5,"Taylor, Curtis",22y 116d,49 (9-1-39 19.39%),19 (0.39),←,
28,"Turner, Kayne",26y 212d,117 (46-1-70 39.74%),59 (0.50),←,
19,"Walker, Josh",29y 261d,138 (45-2-91 33.33%),75 (0.54),53 (8-1-44 16.04%),6 (0.11)
7,"Ziebell, Jack",31y 153d,256 (110-1-145 43.16%),180 (0.70),←,
44,"Zurhaar, Cameron",24y 70d,80 (22-1-57 28.13%),109 (1.36),←,
Totals,Totals,24y 239d,1845 (644-18-1183 34.91%),1016 (0.55),,
C,"Adams, Leigh",34y 116d,3 (1-0-2 33.33%),,←,
