Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",23y 192d,74 (17-1-56 23.65%),52 (0.70),←,
15,"Anderson, Noah",20y 185d,37 (10-1-26 28.38%),4 (0.11),←,
2,"Atkins, Rory",27y 40d,109 (64-1-44 59.17%),49 (0.45),8 (2-0-6 25.00%),2 (0.25)
10,"Ballard, Charlie",22y 29d,69 (16-1-52 23.91%),1 (0.01),←,
29,"Burgess, Chris",25y 268d,33 (9-0-24 27.27%),14 (0.42),←,
25,"Collins, Sam",27y 67d,59 (18-1-40 31.36%),,45 (15-1-29 34.44%),
19,"Corbett, Josh",25y 120d,32 (6-1-25 20.31%),29 (0.91),←,
30,"Davies, Alex",19y 156d,1 (0-0-1 0.00%),,←,
50,"Farrar, Jy",24y 257d,11 (4-0-7 36.36%),1 (0.09),←,
8,"Fiorini, Brayden",23y 364d,62 (13-1-48 21.77%),20 (0.32),←,
5,"Harbrow, Jarrod",33y 34d,262 (88-3-171 34.16%),54 (0.21),192 (48-2-142 25.52%),33 (0.17)
40,"Jeffrey, Joel",19y 162d,4 (1-0-3 25.00%),2 (0.50),←,
34,"King, Ben",21y 45d,53 (12-1-40 23.58%),89 (1.68),←,
23,"Lemmens, Sean",26y 292d,114 (30-2-82 27.19%),25 (0.22),←,
13,"Lukosius, Jack",21y 12d,60 (15-1-44 25.83%),9 (0.15),←,
44,"Macpherson, Darcy",23y 296d,62 (14-0-48 22.58%),26 (0.42),←,
11,"Miller, Touk",25y 180d,138 (32-2-104 23.91%),39 (0.28),←,
27,"Powell, Wil",21y 360d,57 (16-1-40 28.95%),12 (0.21),←,
18,"Rowell, Matt",20y 51d,17 (6-0-11 35.29%),8 (0.47),←,
6,"Sexton, Alex",27y 261d,154 (40-0-114 25.97%),150 (0.97),←,
37,"Sharp, Jeremy",20y 8d,11 (3-0-8 27.27%),2 (0.18),←,
32,"Smith, Zac",31y 180d,124 (49-1-74 39.92%),54 (0.44),74 (15-0-59 20.27%),34 (0.46)
24,"Swallow, David",28y 275d,175 (45-1-129 26.00%),78 (0.45),←,
Totals,Totals,24y 135d,1718 (508-19-1191 29.57%),718 (0.42),,
C,"Dew, Stuart",42y 3d,83 (19-1-63 23.49%),,←,
