Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
9,"Angwin, Ryan",20y 181d,9 (3-0-6 33.33%),,←,
7,"Ash, Lachie",21y 355d,69 (29-1-39 42.75%),5 (0.07),←,
14,"Bedford, Toby",23y 15d,25 (15-0-10 60.00%),15 (0.60),7 (3-0-4 42.86%),6 (0.86)
32,"Briggs, Kieren",23y 248d,13 (6-0-7 46.15%),7 (0.54),←,
46,"Brown, Callum",22y 300d,16 (5-0-11 31.25%),10 (0.63),←,
44,"Buckley, Jack",25y 176d,30 (12-1-17 41.67%),,←,
17,"Callaghan, Finn",20y 46d,18 (6-0-12 33.33%),4 (0.22),←,
3,"Coniglio, Stephen",29y 178d,190 (83-1-106 43.95%),106 (0.56),←,
34,"Fahey, Josh",19y 212d,3 (2-0-1 66.67%),1 (0.33),←,
4,"Greene, Toby",29y 259d,202 (91-2-109 45.54%),297 (1.47),←,
12,"Green, Tom",22y 139d,57 (23-1-33 41.23%),22 (0.39),←,
19,"Haynes, Nick",31y 24d,194 (89-4-101 46.91%),12 (0.06),←,
27,"Himmelberg, Harry",27y 34d,139 (72-2-65 52.52%),159 (1.14),←,
23,"Hogan, Jesse",28y 119d,130 (57-0-73 43.85%),249 (1.92),40 (16-0-24 40.00%),79 (1.98)
39,"Idun, Connor",22y 317d,55 (23-1-31 42.73%),,←,
25,"Keeffe, Lachlan",33y 58d,100 (50-0-50 50.00%),17 (0.17),60 (25-0-35 41.67%),10 (0.17)
38,"Lloyd, Daniel",31y 113d,88 (42-4-42 50.00%),66 (0.75),←,
33,"OHalloran, Xavier",22y 335d,42 (17-1-24 41.67%),16 (0.38),←,
36,"Perryman, Harry",24y 174d,95 (45-1-49 47.89%),25 (0.26),←,
26,"Riccardi, Jake",23y 216d,37 (14-0-23 37.84%),34 (0.92),←,
24,"Rowston, Harry",18y 303d,7 (3-0-4 42.86%),1 (0.14),←,
8,"Ward, Callan",33y 62d,282 (122-4-156 43.97%),142 (0.50),222 (90-4-128 41.44%),109 (0.49)
6,"Whitfield, Lachie",28y 328d,197 (93-4-100 48.22%),70 (0.36),←,
Totals,Totals,25y 150d,1998 (902-27-1069 45.15%),1258 (0.63),,
C,"Kingsley, Adam",47y 295d,13 (5-0-8 38.46%),,←,
