Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 154d,31 (17-1-13 56.45%),35 (1.13),←,
10,"Ashcroft, Marcus",24y 306d,144 (47-2-95 33.33%),79 (0.55),←,
25,"Bews, Andrew",32y 8d,261 (136-2-123 52.49%),134 (0.51),54 (26-1-27 49.07%),2 (0.04)
1,"Champion, Richard",28y 104d,111 (38-2-71 35.14%),34 (0.31),←,
16,"Clarke, Matthew",22y 313d,61 (30-1-30 50.00%),6 (0.10),←,
14,"Dickfos, Danny",25y 301d,14 (10-1-3 75.00%),,←,
6,"Fletcher, Adrian",26y 291d,123 (57-1-65 46.75%),65 (0.53),78 (32-1-45 41.67%),45 (0.58)
8,"Gowers, Andrew",27y 107d,121 (74-1-46 61.57%),58 (0.48),32 (15-1-16 48.44%),4 (0.13)
32,"Hart, Shaun",25y 71d,94 (31-1-62 33.51%),73 (0.78),←,
27,"Keating, Clark",20y 130d,11 (7-1-3 68.18%),5 (0.45),←,
41,"Kennedy, Matthew",26y 174d,106 (34-1-71 32.55%),25 (0.24),←,
18,"Lambert, Craig",27y 296d,168 (54-1-113 32.44%),70 (0.42),45 (21-1-23 47.78%),17 (0.38)
44,"Lappin, Nigel",20y 36d,53 (26-1-26 50.00%),37 (0.70),←,
23,"Leppitsch, Justin",20y 300d,36 (16-1-19 45.83%),40 (1.11),←,
11,"Lynch, Alastair",28y 38d,147 (58-0-89 39.46%),248 (1.69),27 (14-0-13 51.85%),75 (2.78)
42,"Lynch, Tristan",22y 340d,13 (8-1-4 65.38%),1 (0.08),←,
2,"McAdam, Gilbert",29y 119d,106 (57-2-47 54.72%),86 (0.81),53 (27-1-25 51.89%),38 (0.72)
24,"Merrett, Roger",36y 99d,307 (147-4-156 48.53%),426 (1.39),158 (50-2-106 32.28%),278 (1.76)
22,"Scott, Chris",20y 85d,50 (24-1-25 49.00%),22 (0.44),←,
3,"Voss, Michael",21y 20d,72 (32-1-39 45.14%),68 (0.94),←,
33,"White, Darryl",23y 45d,84 (34-2-48 41.67%),97 (1.15),←,
Totals,Totals,25y 72d,2113 (937-28-1148 44.34%),1609 (0.76),,
C,"Northey, John",53y 28d,273 (139-3-131 51.47%),,17 (11-1-5 67.65%),
