Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 195d,37 (22-1-14 60.81%),43 (1.16),←,
10,"Ashcroft, Marcus",24y 347d,150 (52-2-96 35.33%),83 (0.55),←,
1,"Champion, Richard",28y 145d,117 (43-2-72 37.61%),35 (0.30),←,
16,"Clarke, Matthew",22y 354d,67 (35-1-31 52.99%),6 (0.09),←,
14,"Dickfos, Danny",25y 342d,20 (15-1-4 77.50%),,←,
6,"Fletcher, Adrian",26y 332d,129 (62-1-66 48.45%),68 (0.53),84 (37-1-46 44.64%),48 (0.57)
8,"Gowers, Andrew",27y 148d,127 (79-1-47 62.60%),61 (0.48),38 (20-1-17 53.95%),7 (0.18)
32,"Hart, Shaun",25y 112d,100 (36-1-63 36.50%),78 (0.78),←,
41,"Kennedy, Matthew",26y 215d,111 (38-1-72 34.68%),25 (0.23),←,
18,"Lambert, Craig",27y 337d,170 (56-1-113 33.24%),71 (0.42),47 (23-1-23 50.00%),18 (0.38)
44,"Lappin, Nigel",20y 77d,59 (31-1-27 53.39%),38 (0.64),←,
23,"Leppitsch, Justin",20y 341d,42 (21-1-20 51.19%),55 (1.31),←,
11,"Lynch, Alastair",28y 79d,150 (60-0-90 40.00%),253 (1.69),30 (16-0-14 53.33%),80 (2.67)
42,"Lynch, Tristan",23y 15d,19 (13-1-5 71.05%),1 (0.05),←,
19,"McLean, Michael",31y 187d,180 (74-2-104 41.67%),40 (0.22),85 (27-0-58 31.76%),17 (0.20)
4,"McRae, Craig",22y 350d,37 (20-0-17 54.05%),51 (1.38),←,
24,"Merrett, Roger",36y 140d,311 (150-4-157 48.87%),431 (1.39),162 (53-2-107 33.33%),283 (1.75)
22,"Scott, Chris",20y 126d,53 (26-1-26 50.00%),23 (0.43),←,
38,"Scott, Dion",26y 158d,53 (26-0-27 49.06%),38 (0.72),47 (25-0-22 53.19%),38 (0.81)
3,"Voss, Michael",21y 61d,78 (37-1-40 48.08%),71 (0.91),←,
33,"White, Darryl",23y 86d,88 (38-2-48 44.32%),102 (1.16),←,
Totals,Totals,25y 93d,2098 (934-25-1139 44.52%),1573 (0.75),,
C,"Northey, John",53y 69d,279 (144-3-132 52.15%),,23 (16-1-6 71.74%),
