North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
27,"Bergman, Miller",20y 144d,11 (2-0-9 18.18%),,←,
21,"Coleman-Jones, Callum",24y 5d,25 (5-1-19 22.00%),20 (0.80),16 (1-0-15 6.25%),9 (0.56)
4,"Corr, Aidan",29y 32d,130 (50-3-77 39.62%),2 (0.02),32 (3-0-29 9.38%),
25,"Curtis, Paul",20y 106d,27 (3-0-24 11.11%),19 (0.70),←,
40,"Ford, Eddie",20y 362d,13 (0-0-13 0.00%),6 (0.46),←,
22,"Goldstein, Todd",34y 352d,308 (129-2-177 42.21%),155 (0.50),←,
18,"Greenwood, Hugh",31y 104d,114 (44-2-68 39.47%),50 (0.44),31 (4-0-27 12.90%),5 (0.16)
20,"Larkey, Nick",25y 12d,85 (19-1-65 22.94%),159 (1.87),←,
19,"Logue, Griffin",25y 66d,77 (30-1-46 39.61%),10 (0.13),13 (2-0-11 15.38%),1 (0.08)
11,"McDonald, Luke",28y 129d,173 (67-0-106 38.73%),18 (0.10),←,
23,"McKay, Ben",25y 176d,62 (7-1-54 12.10%),1 (0.02),←,
29,"Phillips, Will",21y 27d,26 (5-0-21 19.23%),6 (0.23),←,
24,"Powell, Tom",21y 108d,43 (5-1-37 12.79%),16 (0.37),←,
8,"Scott, Bailey",22y 344d,69 (8-1-60 12.32%),25 (0.36),←,
3,"Sheezel, Harry",18y 248d,14 (2-0-12 14.29%),3 (0.21),←,
14,"Shiels, Liam",32y 50d,268 (158-3-107 59.51%),93 (0.35),13 (2-0-11 15.38%),3 (0.23)
12,"Simpkin, Jy",25y 105d,127 (36-1-90 28.74%),47 (0.37),←,
36,"Spicer, Phoenix",21y 139d,12 (1-0-11 8.33%),2 (0.17),←,
2,"Stephenson, Jaidyn",24y 154d,103 (40-1-62 39.32%),117 (1.14),49 (6-1-42 13.27%),41 (0.84)
26,"Thomas, Tarryn",23y 85d,60 (17-1-42 29.17%),49 (0.82),←,
6,"Wardlaw, George",19y 7d,5 (0-0-5 0.00%),1 (0.20),←,
7,"Ziebell, Jack",32y 110d,272 (112-1-159 41.36%),182 (0.67),←,
44,"Zurhaar, Cameron",25y 27d,96 (24-1-71 25.52%),132 (1.38),←,
Totals,Totals,24y 316d,2120 (764-21-1335 36.04%),1113 (0.52),,
C,"Ratten, Brett",51y 342d,193 (94-1-98 48.96%),,5 (0-0-5 0.00%),
