Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Amon, Karl",28y 210d,146 (79-0-67 54.11%),65 (0.45),22 (6-0-16 27.27%),10 (0.45)
22,"Breust, Luke",33y 126d,282 (170-2-110 60.64%),528 (1.87),←,
18,"Chol, Mabior",27y 47d,62 (32-1-29 52.42%),80 (1.29),1 (0-0-1 0.00%),2 (2.00)
16,"DAmbrosio, Massimo",20y 285d,17 (9-0-8 52.94%),5 (0.29),1 (0-0-1 0.00%),
8,"Frost, Sam",30y 201d,160 (56-2-102 35.63%),9 (0.06),69 (20-2-47 30.43%),1 (0.01)
33,"Ginnivan, Jack",21y 98d,43 (31-0-12 72.09%),60 (1.40),1 (0-0-1 0.00%),2 (2.00)
19,"Gunston, Jack",32y 152d,243 (147-1-95 60.70%),453 (1.86),212 (131-1-80 62.03%),411 (1.94)
15,"Hardwick, Blake",27y 40d,148 (63-2-83 43.24%),8 (0.05),←,
4,"Impey, Jarman",28y 251d,173 (80-0-93 46.24%),61 (0.35),98 (40-0-58 40.82%),27 (0.28)
2,"Lewis, Mitch",25y 154d,67 (25-2-40 38.81%),121 (1.81),←,
31,"Macdonald, Connor",21y 63d,42 (14-0-28 33.33%),21 (0.50),←,
28,"Mackenzie, Cam",20y 55d,15 (5-0-10 33.33%),3 (0.20),←,
32,"Maginness, Finn",23y 22d,33 (11-0-22 33.33%),4 (0.12),←,
13,"Moore, Dylan",24y 225d,76 (24-1-51 32.24%),77 (1.01),←,
11,"Nash, Conor",25y 232d,74 (29-1-44 39.86%),16 (0.22),←,
3,"Newcombe, Jai",22y 227d,52 (18-2-32 36.54%),21 (0.40),←,
7,"Reeves, Ned",25y 137d,39 (14-1-24 37.18%),10 (0.26),←,
14,"Scrimshaw, Jack",25y 194d,84 (28-1-55 33.93%),11 (0.13),80 (28-1-51 35.63%),11 (0.14)
6,"Sicily, James",29y 70d,135 (65-1-69 48.52%),61 (0.45),←,
25,"Ward, Josh",20y 212d,31 (11-0-20 35.48%),4 (0.13),←,
34,"Watson, Nick",19y 21d,1 (0-0-1 0.00%),,←,
23,"Weddle, Josh",19y 296d,18 (6-0-12 33.33%),4 (0.22),←,
5,"Worpel, James",25y 52d,103 (39-2-62 38.83%),40 (0.39),←,
Totals,Totals,25y 35d,2044 (956-19-1069 46.77%),1662 (0.81),,
C,"Mitchell, Sam",41y 156d,46 (15-0-31 32.61%),,←,
