Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",25y 51d,99 (28-1-70 28.79%),80 (0.81),←,
15,"Anderson, Noah",22y 44d,61 (20-1-40 33.61%),17 (0.28),←,
10,"Ballard, Charlie",23y 253d,90 (25-1-64 28.33%),2 (0.02),←,
30,"Casboult, Levi",33y 18d,178 (58-1-119 32.87%),193 (1.08),24 (10-0-14 41.67%),37 (1.54)
25,"Collins, Sam",28y 291d,84 (29-1-54 35.12%),,70 (26-1-43 37.86%),
50,"Farrar, Jy",26y 116d,27 (12-0-15 44.44%),2 (0.07),←,
3,"Flanders, Sam",21y 252d,33 (10-1-22 31.82%),11 (0.33),←,
36,"Hollands, Elijah",20y 342d,8 (3-0-5 37.50%),6 (0.75),←,
7,"Holman, Nick",27y 308d,94 (28-0-66 29.79%),50 (0.53),85 (27-0-58 31.76%),50 (0.59)
40,"Jeffrey, Joel",21y 21d,12 (6-0-6 50.00%),13 (1.08),←,
34,"King, Ben",22y 269d,56 (13-1-42 24.11%),93 (1.66),←,
22,"Long, Ben",25y 224d,82 (33-1-48 40.85%),31 (0.38),3 (1-0-2 33.33%),
13,"Lukosius, Jack",22y 236d,76 (22-1-53 29.61%),23 (0.30),←,
44,"Macpherson, Darcy",25y 155d,75 (20-0-55 26.67%),26 (0.35),←,
11,"Miller, Touk",27y 39d,163 (43-2-118 26.99%),47 (0.29),←,
47,"Oea, Hewago",21y 140d,6 (4-0-2 66.67%),2 (0.33),←,
27,"Powell, Wil",23y 219d,70 (24-1-45 35.00%),13 (0.19),←,
41,"Rosas, Malcolm",21y 279d,21 (10-0-11 47.62%),14 (0.67),←,
18,"Rowell, Matt",21y 275d,42 (17-0-25 40.48%),10 (0.24),←,
6,"Sexton, Alex",29y 120d,160 (43-0-117 26.88%),159 (0.99),←,
24,"Swallow, David",30y 134d,200 (56-1-143 28.25%),87 (0.44),←,
14,"Weller, Lachie",27y 38d,129 (36-1-92 28.29%),45 (0.35),82 (22-1-59 27.44%),28 (0.34)
28,"Witts, Jarrod",30y 201d,147 (48-1-98 32.99%),30 (0.20),107 (30-1-76 28.50%),12 (0.11)
Totals,Totals,25y 80d,1913 (588-15-1310 30.74%),954 (0.50),,
C,"Dew, Stuart",43y 227d,108 (30-1-77 28.24%),,←,
