Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
9,"Angwin, Ryan",20y 145d,4 (1-0-3 25.00%),,←,
7,"Ash, Lachie",21y 319d,64 (27-1-36 42.97%),4 (0.06),←,
14,"Bedford, Toby",22y 344d,20 (13-0-7 65.00%),10 (0.50),2 (1-0-1 50.00%),1 (0.50)
46,"Brown, Callum",22y 264d,12 (3-0-9 25.00%),6 (0.50),←,
44,"Buckley, Jack",25y 140d,25 (10-1-14 42.00%),,←,
5,"Cadman, Aaron",19y 64d,4 (2-0-2 50.00%),3 (0.75),←,
17,"Callaghan, Finn",20y 10d,13 (4-0-9 30.77%),2 (0.15),←,
3,"Coniglio, Stephen",29y 142d,185 (81-1-103 44.05%),105 (0.57),←,
13,"Cumming, Isaac",24y 268d,63 (26-1-36 42.06%),1 (0.02),←,
16,"Daniels, Brent",24y 58d,69 (37-0-32 53.62%),33 (0.48),←,
30,"Flynn, Matt",25y 235d,32 (10-1-21 32.81%),10 (0.31),←,
12,"Green, Tom",22y 103d,52 (21-1-30 41.35%),22 (0.42),←,
19,"Haynes, Nick",30y 353d,191 (88-4-99 47.12%),12 (0.06),←,
27,"Himmelberg, Harry",26y 363d,135 (71-2-62 53.33%),159 (1.18),←,
23,"Hogan, Jesse",28y 83d,125 (55-0-70 44.00%),241 (1.93),35 (14-0-21 40.00%),71 (2.03)
39,"Idun, Connor",22y 281d,50 (21-1-28 43.00%),,←,
22,"Kelly, Josh",28y 83d,183 (94-3-86 52.19%),110 (0.60),←,
38,"Lloyd, Daniel",31y 77d,84 (40-4-40 50.00%),66 (0.79),←,
33,"OHalloran, Xavier",22y 299d,37 (15-1-21 41.89%),12 (0.32),←,
20,"Peatling, James",22y 258d,23 (9-0-14 39.13%),9 (0.39),←,
36,"Perryman, Harry",24y 138d,90 (43-1-46 48.33%),25 (0.28),←,
8,"Ward, Callan",33y 26d,277 (120-4-153 44.04%),140 (0.51),217 (88-4-125 41.47%),107 (0.49)
6,"Whitfield, Lachie",28y 292d,192 (91-4-97 48.44%),70 (0.36),←,
Totals,Totals,25y 62d,1930 (882-30-1018 45.70%),1040 (0.54),,
C,"Kingsley, Adam",47y 259d,8 (3-0-5 37.50%),,←,
