Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 156d,11 (4-0-7 36.36%),11 (1.00),←,
10,"Ashcroft, Marcus",23y 308d,121 (32-1-88 26.86%),68 (0.56),←,
36,"Bartlett, Trent",18y 246d,4 (2-0-2 50.00%),,←,
25,"Bews, Andrew",31y 11d,240 (123-1-116 51.46%),133 (0.55),33 (13-0-20 39.39%),1 (0.03)
1,"Champion, Richard",27y 107d,88 (23-1-64 26.70%),32 (0.36),←,
5,"Chapman, Nathan",20y 84d,37 (8-0-29 21.62%),11 (0.30),←,
16,"Clarke, Matthew",21y 315d,38 (15-0-23 39.47%),3 (0.08),←,
6,"Fletcher, Adrian",25y 293d,101 (43-0-58 42.57%),51 (0.50),56 (18-0-38 32.14%),31 (0.55)
32,"Hart, Shaun",24y 74d,76 (18-1-57 24.34%),44 (0.58),←,
41,"Kennedy, Matthew",25y 176d,86 (21-0-65 24.42%),21 (0.24),←,
18,"Lambert, Craig",26y 298d,148 (42-0-106 28.38%),61 (0.41),25 (9-0-16 36.00%),8 (0.32)
44,"Lappin, Nigel",19y 39d,30 (11-0-19 36.67%),15 (0.50),←,
34,"Lawrence, Steven",19y 72d,12 (5-0-7 41.67%),1 (0.08),←,
2,"McAdam, Gilbert",28y 122d,86 (44-1-41 51.74%),78 (0.91),33 (14-0-19 42.42%),30 (0.91)
7,"McIvor, Scott",28y 355d,178 (63-0-115 35.39%),89 (0.50),123 (37-0-86 30.08%),74 (0.60)
19,"McLean, Michael",30y 149d,172 (68-2-102 40.12%),40 (0.23),77 (21-0-56 27.27%),17 (0.22)
4,"McRae, Craig",21y 311d,17 (6-0-11 35.29%),18 (1.06),←,
24,"Merrett, Roger",35y 102d,290 (135-3-152 47.07%),397 (1.37),141 (38-1-102 27.30%),249 (1.77)
38,"Scott, Dion",25y 120d,38 (13-0-25 34.21%),21 (0.55),32 (12-0-20 37.50%),21 (0.66)
3,"Voss, Michael",20y 23d,49 (17-0-32 34.69%),36 (0.73),←,
33,"White, Darryl",22y 48d,62 (19-1-42 31.45%),56 (0.90),←,
Totals,Totals,24y 180d,1884 (712-11-1161 37.79%),1186 (0.63),,
C,"Walls, Robert",45y 9d,302 (141-2-159 47.02%),,103 (26-1-76 25.73%),
