Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
26,"Anderson, Joe",19y 243d,8 (3-0-5 37.50%),,←,
27,"Armfield, Dennis",21y 245d,8 (4-0-4 50.00%),2 (0.25),←,
7,"Bentick, Adam",23y 71d,67 (19-1-47 29.10%),13 (0.19),←,
18,"Bower, Paul",20y 227d,23 (5-0-18 21.74%),2 (0.09),←,
44,"Carrazzo, Andrew",24y 252d,84 (23-2-59 28.57%),20 (0.24),←,
28,"Cloke, Cameron",23y 247d,46 (20-0-26 43.48%),27 (0.59),25 (11-0-14 44.00%),16 (0.64)
25,"Fevola, Brendan",27y 216d,163 (56-2-105 34.97%),479 (2.94),←,
14,"Fisher, Brad",24y 136d,90 (27-1-62 30.56%),118 (1.31),←,
4,"Gibbs, Bryce",19y 161d,42 (13-0-29 30.95%),17 (0.40),←,
16,"Grigg, Shaun",20y 126d,24 (10-0-14 41.67%),4 (0.17),←,
22,"Hampson, Shaun",20y 155d,11 (5-0-6 45.45%),2 (0.18),←,
33,"Houlihan, Ryan",26y 215d,161 (48-2-111 30.43%),99 (0.61),←,
5,"Judd, Chris",24y 350d,154 (93-2-59 61.04%),152 (0.99),20 (9-0-11 45.00%),14 (0.70)
8,"Kreuzer, Matthew",19y 102d,19 (10-0-9 52.63%),13 (0.68),←,
3,"Murphy, Marc",21y 35d,56 (16-0-40 28.57%),32 (0.57),←,
2,"Russell, Jordan",21y 291d,49 (14-1-34 29.59%),7 (0.14),←,
29,"Scotland, Heath",28y 33d,159 (54-1-104 34.28%),52 (0.33),106 (31-1-74 29.72%),40 (0.38)
6,"Simpson, Kade",24y 110d,86 (24-1-61 28.49%),47 (0.55),←,
24,"Stevens, Nick",28y 233d,213 (102-4-107 48.83%),127 (0.60),86 (28-2-56 33.72%),49 (0.57)
32,"Thornton, Bret",24y 282d,127 (33-1-93 26.38%),2 (0.02),←,
30,"Waite, Jarrad",25y 201d,105 (29-2-74 28.57%),107 (1.02),←,
1,"Walker, Andrew",22y 97d,80 (19-2-59 25.00%),30 (0.38),←,
Totals,Totals,23y 117d,1775 (627-22-1126 35.32%),1352 (0.76),,
C,"Ratten, Brett",37y 43d,27 (10-0-17 37.04%),,←,
