St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
8,"Acres, Blake",23y 174d,57 (22-1-34 39.47%),23 (0.40),←,
26,"Battle, Josh",20y 210d,9 (4-0-5 44.44%),8 (0.89),←,
15,"Billings, Jack",23y 224d,87 (31-1-55 36.21%),64 (0.74),←,
22,"Brown, Nathan",30y 103d,168 (91-2-75 54.76%),7 (0.04),38 (15-1-22 40.79%),
27,"Bruce, Josh",26y 295d,93 (35-1-57 38.17%),140 (1.51),79 (34-1-44 43.67%),137 (1.73)
7,"Dunstan, Luke",24y 60d,87 (33-2-52 39.08%),42 (0.48),←,
14,"Geary, Jarryn",30y 280d,185 (91-2-92 49.73%),28 (0.15),←,
4,"Gresham, Jade",21y 218d,64 (27-1-36 42.97%),79 (1.23),←,
25,"Kent, Dean",25y 34d,65 (22-0-43 33.85%),65 (1.00),2 (2-0-0 100.00%),2 (1.00)
13,"Lonie, Jack",22y 229d,52 (18-0-34 34.62%),45 (0.87),←,
19,"Marshall, Rowan",23y 126d,14 (2-0-12 14.29%),6 (0.43),←,
36,"McKenzie, Daniel",22y 317d,36 (15-0-21 41.67%),3 (0.08),←,
28,"Membrey, Tim",24y 308d,72 (32-2-38 45.83%),129 (1.79),71 (31-2-38 45.07%),129 (1.82)
16,"Newnes, Jack",26y 34d,137 (48-2-87 35.77%),50 (0.36),←,
34,"Parker, Matthew",23y 64d,2 (2-0-0 100.00%),3 (1.50),←,
6,"Ross, Sebastian",25y 327d,104 (36-2-66 35.58%),16 (0.15),←,
5,"Savage, Shane",28y 84d,143 (70-2-71 49.65%),60 (0.42),87 (29-2-56 34.48%),23 (0.26)
35,"Sinclair, Jack",24y 46d,66 (25-1-40 38.64%),38 (0.58),←,
9,"Steele, Jack",23y 107d,60 (23-1-36 39.17%),23 (0.38),43 (15-1-27 36.05%),14 (0.33)
3,"Steven, Jack",29y 2d,178 (67-3-108 38.48%),107 (0.60),←,
29,"Webster, Jimmy",25y 275d,87 (29-1-57 33.91%),3 (0.03),←,
44,"Wilkie, Callum",23y 20d,2 (2-0-0 100.00%),,←,
Totals,Totals,24y 343d,1768 (725-24-1019 41.01%),939 (0.53),,
C,"Richardson, Alan",53y 317d,113 (39-2-72 35.40%),,112 (39-2-71 35.71%),
