Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
28,"Bell, Tom",24y 49d,46 (17-1-28 38.04%),34 (0.74),←,
12,"Boekhorst, Blaine",21y 333d,6 (1-0-5 16.67%),2 (0.33),←,
7,"Buckley, Dylan",22y 138d,22 (6-0-16 27.27%),5 (0.23),←,
44,"Carrazzo, Andrew",31y 229d,190 (74-4-112 40.00%),47 (0.25),←,
41,"Casboult, Levi",25y 139d,51 (17-1-33 34.31%),51 (1.00),←,
9,"Cripps, Patrick",20y 136d,18 (4-1-13 25.00%),4 (0.22),←,
35,"Curnow, Ed",25y 267d,83 (38-2-43 46.99%),11 (0.13),←,
15,"Docherty, Sam",21y 288d,44 (14-1-29 32.95%),9 (0.20),31 (8-1-22 27.42%),8 (0.26)
33,"Everitt, Andrejs",26y 141d,113 (60-3-50 54.42%),67 (0.59),34 (9-0-25 26.47%),35 (1.03)
23,"Henderson, Lachie",25y 230d,115 (50-1-64 43.91%),104 (0.90),100 (42-1-57 42.50%),101 (1.01)
40,"Jamison, Michael",29y 51d,140 (60-2-78 43.57%),2 (0.01),←,
8,"Kreuzer, Matthew",26y 80d,114 (57-0-57 50.00%),60 (0.53),←,
2,"Menzel, Troy",20y 313d,37 (13-1-23 36.49%),47 (1.27),←,
3,"Murphy, Marc",28y 13d,201 (86-1-114 43.03%),147 (0.73),←,
17,"Rowe, Sam",27y 255d,46 (15-1-30 33.70%),13 (0.28),←,
6,"Simpson, Kade",31y 88d,237 (94-3-140 40.30%),123 (0.52),←,
25,"Smith, Clem",19y 179d,4 (0-0-4 0.00%),,←,
42,"Tuohy, Zach",25y 234d,93 (40-1-52 43.55%),34 (0.37),←,
22,"Tutt, Jason",24y 78d,36 (8-0-28 22.22%),25 (0.69),10 (0-0-10 0.00%),3 (0.30)
43,"White, Simon",27y 45d,58 (26-2-30 46.55%),10 (0.17),←,
36,"Wood, Cameron",28y 150d,85 (39-1-45 46.47%),28 (0.33),21 (5-1-15 26.19%),7 (0.33)
13,"Yarran, Chris",24y 225d,118 (50-2-66 43.22%),90 (0.76),←,
Totals,Totals,25y 133d,1857 (769-28-1060 41.41%),913 (0.49),,
C,"Barker, John",40y 163d,9 (2-0-7 22.22%),,←,
