Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",20y 250d,36 (7-0-29 19.44%),23 (0.64),←,
9,"Ainsworth, Ben",20y 126d,25 (5-0-20 20.00%),19 (0.76),←,
31,"Ballard, Charlie",18y 328d,6 (0-0-6 0.00%),1 (0.17),←,
29,"Bowes, Jack",20y 141d,22 (5-0-17 22.73%),4 (0.18),←,
12,"Day, Sam",25y 283d,109 (32-1-76 29.82%),74 (0.68),←,
5,"Harbrow, Jarrod",29y 333d,214 (80-2-132 37.85%),54 (0.25),144 (40-1-103 28.13%),33 (0.23)
39,"Holman, Nick",23y 18d,21 (4-0-17 19.05%),4 (0.19),12 (3-0-9 25.00%),4 (0.33)
38,"Joyce, Jesse",20y 303d,38 (11-0-27 28.95%),1 (0.03),←,
23,"Lemmens, Sean",23y 226d,70 (21-1-48 30.71%),17 (0.24),←,
21,"Leslie, Jack",23y 50d,23 (5-0-18 21.74%),,←,
19,"Lynch, Tom",25y 228d,130 (37-1-92 28.85%),252 (1.94),←,
25,"Lyons, Jarryd",25y 329d,83 (43-0-40 51.81%),47 (0.57),28 (9-0-19 32.14%),15 (0.54)
4,"Martin, Jack",23y 138d,77 (22-1-54 29.22%),71 (0.92),←,
11,"Miller, Touk",22y 114d,72 (16-1-55 22.92%),22 (0.31),←,
35,"Rischitelli, Michael",32y 159d,226 (79-3-144 35.62%),88 (0.39),115 (30-0-85 26.09%),41 (0.36)
36,"Schoenfeld, Josh",20y 348d,9 (1-0-8 11.11%),3 (0.33),←,
6,"Sexton, Alex",24y 195d,87 (24-0-63 27.59%),54 (0.62),←,
24,"Swallow, David",25y 209d,109 (31-0-78 28.44%),54 (0.50),←,
16,"Thompson, Rory",27y 96d,98 (29-1-68 30.10%),7 (0.07),←,
14,"Weller, Lachie",22y 113d,59 (17-0-42 28.81%),18 (0.31),12 (3-0-9 25.00%),1 (0.08)
28,"Witts, Jarrod",25y 276d,70 (27-0-43 38.57%),21 (0.30),30 (9-0-21 30.00%),3 (0.10)
15,"Young, Aaron",25y 192d,88 (41-1-46 47.16%),72 (0.82),12 (3-0-9 25.00%),10 (0.83)
Totals,Totals,24y 3d,1672 (537-12-1123 32.12%),906 (0.54),,
C,"Dew, Stuart",38y 302d,12 (3-0-9 25.00%),,←,
