Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",25y 148d,110 (33-1-76 30.45%),91 (0.83),←,
15,"Anderson, Noah",22y 141d,74 (26-1-47 35.81%),26 (0.35),←,
31,"Andrew, Mac",19y 216d,14 (6-0-8 42.86%),,←,
2,"Atkins, Rory",28y 361d,128 (72-1-55 56.64%),49 (0.38),27 (10-0-17 37.04%),2 (0.07)
10,"Ballard, Charlie",23y 350d,103 (31-1-71 30.58%),2 (0.02),←,
30,"Casboult, Levi",33y 115d,188 (62-1-125 33.24%),205 (1.09),34 (14-0-20 41.18%),49 (1.44)
25,"Collins, Sam",29y 23d,97 (35-1-61 36.60%),,83 (32-1-50 39.16%),
4,"Ellis, Brandon",29y 339d,240 (133-2-105 55.83%),80 (0.33),64 (24-1-39 38.28%),22 (0.34)
50,"Farrar, Jy",26y 213d,30 (14-0-16 46.67%),2 (0.07),←,
8,"Fiorini, Brayden",25y 320d,90 (24-1-65 27.22%),26 (0.29),←,
3,"Flanders, Sam",21y 349d,37 (11-1-25 31.08%),11 (0.30),←,
7,"Holman, Nick",28y 40d,105 (33-0-72 31.43%),61 (0.58),96 (32-0-64 33.33%),61 (0.64)
19,"Humphrey, Bailey",18y 300d,13 (6-0-7 46.15%),10 (0.77),←,
34,"King, Ben",23y 1d,69 (19-1-49 28.26%),122 (1.77),←,
13,"Lukosius, Jack",22y 333d,89 (28-1-60 32.02%),44 (0.49),←,
44,"Macpherson, Darcy",25y 252d,88 (26-0-62 29.55%),26 (0.30),←,
11,"Miller, Touk",27y 136d,167 (44-2-121 26.95%),48 (0.29),←,
47,"Oea, Hewago",21y 237d,11 (6-0-5 54.55%),4 (0.36),←,
27,"Powell, Wil",23y 316d,83 (30-1-52 36.75%),13 (0.16),←,
18,"Rowell, Matt",22y 7d,55 (23-0-32 41.82%),15 (0.27),←,
24,"Swallow, David",30y 231d,213 (62-1-150 29.34%),95 (0.45),←,
14,"Weller, Lachie",27y 135d,136 (39-1-96 29.04%),45 (0.33),89 (25-1-63 28.65%),28 (0.31)
28,"Witts, Jarrod",30y 298d,158 (54-1-103 34.49%),33 (0.21),118 (36-1-81 30.93%),15 (0.13)
Totals,Totals,25y 227d,2298 (817-18-1463 35.55%),1008 (0.44),,
C,"Dew, Stuart",43y 324d,121 (36-1-84 30.17%),,←,
