Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
10,"Brayshaw, Angus",19y 114d,5 (2-0-3 40.00%),2 (0.40),←,
18,"Cross, Daniel",32y 34d,232 (104-3-125 45.47%),34 (0.15),22 (6-0-16 27.27%),1 (0.05)
14,"Dunn, Lynden",27y 354d,144 (36-2-106 25.69%),95 (0.66),←,
20,"Garland, Colin",27y 5d,120 (27-2-91 23.33%),16 (0.13),←,
36,"Garlett, Jeff",25y 273d,112 (59-1-52 53.13%),193 (1.72),5 (2-0-3 40.00%),10 (2.00)
31,"Grimes, Jack",25y 357d,87 (18-2-67 21.84%),8 (0.09),←,
1,"Hogan, Jesse",20y 80d,5 (2-0-3 40.00%),9 (1.80),←,
38,"Howe, Jeremy",24y 308d,83 (17-0-66 20.48%),70 (0.84),←,
40,"Jamar, Mark",31y 267d,155 (50-3-102 33.23%),56 (0.36),←,
2,"Jones, Nathan",27y 103d,184 (43-3-138 24.18%),86 (0.47),←,
24,"Kennedy Harris, Jay",20y 43d,18 (5-0-13 27.78%),10 (0.56),←,
8,"Lumumba, Heritier",28y 169d,204 (131-2-71 64.71%),29 (0.14),5 (2-0-3 40.00%),1 (0.20)
25,"McDonald, Tom",22y 227d,65 (13-0-52 20.00%),3 (0.05),←,
13,"McKenzie, Jordie",24y 316d,79 (18-1-60 23.42%),10 (0.13),←,
22,"Michie, Viv",23y 69d,9 (1-0-8 11.11%),,8 (1-0-7 12.50%),
19,"Newton, Ben",22y 268d,9 (5-0-4 55.56%),5 (0.56),5 (2-0-3 40.00%),5 (1.00)
21,"Pedersen, Cameron",28y 47d,46 (12-0-34 26.09%),39 (0.85),30 (5-0-25 16.67%),19 (0.63)
3,"Salem, Christian",19y 292d,17 (5-0-12 29.41%),7 (0.41),←,
12,"Tyson, Dom",21y 329d,40 (7-0-33 17.50%),22 (0.55),27 (6-0-21 22.22%),18 (0.67)
37,"Vandenberg, Aaron",23y 61d,5 (2-0-3 40.00%),3 (0.60),←,
23,"Vince, Bernie",29y 213d,155 (73-0-82 47.10%),94 (0.61),26 (5-0-21 19.23%),14 (0.54)
4,"Watts, Jack",24y 38d,100 (24-2-74 25.00%),77 (0.77),←,
Totals,Totals,25y 14d,1874 (654-21-1199 34.90%),868 (0.46),,
C,"Roos, Paul",51y 310d,229 (122-2-105 53.71%),,27 (6-0-21 22.22%),
