Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",25y 240d,133 (56-1-76 42.48%),75 (0.56),←,
5,"Broadbent, Matthew",23y 240d,81 (29-1-51 36.42%),37 (0.46),←,
11,"Butcher, John",22y 269d,22 (9-0-13 40.91%),33 (1.50),←,
27,"Carlile, Alipate",26y 333d,134 (54-1-79 40.67%),5 (0.04),←,
25,"Cassisi, Domenic",31y 188d,217 (108-2-107 50.23%),73 (0.34),←,
18,"Cornes, Kane",31y 83d,270 (135-2-133 50.37%),91 (0.34),←,
7,"Ebert, Brad",23y 361d,124 (48-1-75 39.11%),65 (0.52),48 (20-1-27 42.71%),32 (0.67)
9,"Gray, Robbie",25y 364d,92 (37-0-55 40.22%),125 (1.36),←,
8,"Hartlett, Hamish",23y 227d,70 (27-1-42 39.29%),38 (0.54),←,
36,"Hombsch, Jack",21y 22d,17 (5-0-12 29.41%),,8 (5-0-3 62.50%),
24,"Impey, Jarman",18y 263d,2 (2-0-0 100.00%),,←,
42,"Jonas, Tom",23y 79d,36 (15-1-20 43.06%),,←,
23,"Lobbe, Matthew",25y 45d,45 (19-0-26 42.22%),11 (0.24),←,
6,"Monfries, Angus",27y 69d,176 (73-3-100 42.33%),204 (1.16),26 (15-0-11 57.69%),39 (1.50)
29,"Pittard, Jasper",22y 362d,33 (16-0-17 48.48%),5 (0.15),←,
21,"Polec, Jared",21y 168d,18 (9-0-9 50.00%),10 (0.56),2 (2-0-0 100.00%),1 (0.50)
28,"Schulz, Jay",28y 345d,144 (54-3-87 38.54%),218 (1.51),73 (30-1-42 41.78%),160 (2.19)
12,"Trengove, Jackson",23y 147d,80 (27-1-52 34.38%),7 (0.09),←,
39,"Westhoff, Justin",27y 179d,136 (56-1-79 41.54%),181 (1.33),←,
19,"White, Matt",26y 348d,107 (46-4-57 44.86%),56 (0.52),2 (2-0-0 100.00%),2 (1.00)
16,"Wines, Ollie",19y 173d,26 (15-0-11 57.69%),12 (0.46),←,
20,"Wingard, Chad",20y 243d,45 (20-1-24 45.56%),56 (1.24),←,
Totals,Totals,24y 232d,2008 (860-23-1125 42.83%),1302 (0.65),,
C,"Hinkley, Ken",47y 180d,25 (15-0-10 60.00%),,←,
