Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",27y 76d,139 (48-1-90 34.89%),115 (0.83),←,
15,"Anderson, Noah",24y 69d,110 (44-1-65 40.45%),43 (0.39),←,
1,"Andrew, Mac",21y 144d,46 (21-0-25 45.65%),9 (0.20),←,
35,"Budarick, Connor",24y 21d,41 (20-1-20 50.00%),1 (0.02),←,
25,"Collins, Sam",30y 316d,133 (53-1-79 40.23%),,119 (50-1-68 42.44%),
3,"Flanders, Sam",23y 277d,71 (28-1-42 40.14%),29 (0.41),←,
26,"Graham, Will",19y 274d,23 (12-0-11 52.17%),16 (0.70),←,
7,"Holman, Nick",29y 333d,136 (49-0-87 36.03%),74 (0.54),127 (48-0-79 37.80%),74 (0.58)
19,"Humphrey, Bailey",20y 228d,46 (24-0-22 52.17%),31 (0.67),←,
40,"Jeffrey, Joel",23y 46d,34 (18-0-16 52.94%),17 (0.50),←,
34,"King, Ben",24y 294d,101 (37-1-63 37.13%),207 (2.05),←,
22,"Long, Ben",27y 249d,117 (51-1-65 44.02%),71 (0.61),38 (19-0-19 50.00%),40 (1.05)
11,"Miller, Touk",29y 64d,197 (60-2-135 30.96%),63 (0.32),←,
2,"Noble, John",28y 33d,118 (71-3-44 61.44%),10 (0.08),6 (5-0-1 83.33%),2 (0.33)
27,"Powell, Wil",25y 244d,111 (45-1-65 40.99%),15 (0.14),←,
20,"Read, Ethan",19y 294d,10 (6-0-4 60.00%),8 (0.80),←,
17,"Rioli, Daniel",28y 11d,189 (103-4-82 55.56%),113 (0.60),6 (5-0-1 83.33%),4 (0.67)
29,"Rogers, Jake",20y 56d,15 (9-0-6 60.00%),6 (0.40),←,
18,"Rowell, Matt",23y 300d,91 (41-0-50 45.05%),27 (0.30),←,
32,"Uwland, Bodhi",21y 276d,30 (16-0-14 53.33%),,←,
4,"Walter, Jed",19y 323d,19 (10-0-9 52.63%),20 (1.05),←,
14,"Weller, Lachie",29y 63d,148 (46-1-101 31.42%),50 (0.34),101 (32-1-68 32.18%),33 (0.33)
28,"Witts, Jarrod",32y 226d,187 (69-1-117 37.17%),42 (0.22),147 (51-1-95 35.03%),24 (0.16)
Totals,Totals,25y 9d,2112 (881-19-1212 41.71%),967 (0.46),,
C,"Hardwick, Damien",52y 252d,336 (186-6-144 56.25%),,29 (16-0-13 55.17%),
