Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",27y 34d,135 (45-1-89 33.70%),114 (0.84),←,
15,"Anderson, Noah",24y 27d,105 (40-1-64 38.57%),42 (0.40),←,
10,"Ballard, Charlie",25y 236d,134 (45-1-88 33.96%),3 (0.02),←,
35,"Budarick, Connor",23y 344d,37 (17-1-19 47.30%),1 (0.03),←,
33,"Clohesy, Sam",22y 94d,21 (10-0-11 47.62%),6 (0.29),←,
25,"Collins, Sam",30y 274d,128 (49-1-78 38.67%),,114 (46-1-67 40.79%),
26,"Graham, Will",19y 232d,18 (8-0-10 44.44%),9 (0.50),←,
7,"Holman, Nick",29y 291d,132 (46-0-86 34.85%),72 (0.55),123 (45-0-78 36.59%),72 (0.59)
19,"Humphrey, Bailey",20y 186d,41 (20-0-21 48.78%),25 (0.61),←,
40,"Jeffrey, Joel",23y 4d,29 (14-0-15 48.28%),16 (0.55),←,
34,"King, Ben",24y 252d,96 (33-1-62 34.90%),190 (1.98),←,
22,"Long, Ben",27y 207d,112 (47-1-64 42.41%),61 (0.54),33 (15-0-18 45.45%),30 (0.91)
11,"Miller, Touk",29y 22d,192 (56-2-134 29.69%),57 (0.30),←,
2,"Noble, John",27y 356d,113 (67-3-43 60.62%),8 (0.07),1 (1-0-0 100.00%),
27,"Powell, Wil",25y 202d,106 (41-1-64 39.15%),15 (0.14),←,
20,"Read, Ethan",19y 252d,5 (2-0-3 40.00%),5 (1.00),←,
17,"Rioli, Daniel",27y 334d,184 (99-4-81 54.89%),111 (0.60),1 (1-0-0 100.00%),2 (2.00)
29,"Rogers, Jake",20y 14d,10 (5-0-5 50.00%),5 (0.50),←,
18,"Rowell, Matt",23y 258d,86 (37-0-49 43.02%),25 (0.29),←,
6,"Sexton, Alex",31y 103d,182 (53-0-129 29.12%),164 (0.90),←,
32,"Uwland, Bodhi",21y 234d,25 (12-0-13 48.00%),,←,
14,"Weller, Lachie",29y 21d,143 (42-1-100 29.72%),47 (0.33),96 (28-1-67 29.69%),30 (0.31)
28,"Witts, Jarrod",32y 184d,182 (65-1-116 35.99%),41 (0.23),142 (47-1-94 33.45%),23 (0.16)
Totals,Totals,25y 197d,2216 (853-19-1344 38.49%),1017 (0.46),,
C,"Hardwick, Damien",52y 210d,331 (182-6-143 55.89%),,24 (12-0-12 50.00%),
