Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
27,"Chapman, Wade",21y 113d,40 (16-1-23 41.25%),11 (0.28),←,
8,"Cresswell, Daryn",25y 339d,98 (31-1-66 32.14%),78 (0.80),←,
6,"Dunkley, Andrew",28y 301d,103 (35-2-66 34.95%),7 (0.07),←,
12,"Dyson, Kevin",29y 357d,96 (52-1-43 54.69%),27 (0.28),26 (17-1-8 67.31%),2 (0.08)
10,"Filandia, Peter",26y 347d,51 (21-1-29 42.16%),39 (0.76),38 (14-1-23 38.16%),25 (0.66)
9,"Grant, Shannon",20y 7d,40 (22-1-17 56.25%),22 (0.55),←,
14,"Kelly, Paul",27y 272d,142 (43-3-96 31.34%),91 (0.64),←,
25,"King, Clinton",19y 33d,6 (4-0-2 66.67%),3 (0.50),←,
3,"Lewis, Dale",27y 357d,117 (32-2-83 28.21%),126 (1.08),←,
4,"Lockett, Tony",31y 48d,226 (93-1-132 41.37%),1134 (5.02),43 (25-1-17 59.30%),236 (5.49)
34,"Luff, Troy",27y 155d,70 (28-2-40 41.43%),55 (0.79),←,
11,"Maxfield, Stuart",25y 17d,117 (55-2-60 47.86%),80 (0.68),28 (20-1-7 73.21%),15 (0.54)
17,"Mooney, Jason",23y 325d,63 (18-0-45 28.57%),29 (0.46),←,
23,"Nicks, Matthew",21y 348d,9 (7-0-2 77.78%),3 (0.33),←,
5,"OBrien, Craig",27y 54d,96 (49-2-45 52.08%),176 (1.83),23 (14-1-8 63.04%),44 (1.91)
19,"OLoughlin, Michael",20y 65d,41 (23-1-17 57.32%),39 (0.95),←,
24,"Orchard, Mark",21y 24d,17 (7-1-9 44.12%),5 (0.29),5 (2-0-3 40.00%),1 (0.20)
1,"Roos, Paul",33y 303d,318 (137-1-180 43.24%),282 (0.89),49 (27-1-21 56.12%),12 (0.24)
7,"Seymour, Brad",20y 358d,45 (21-1-23 47.78%),2 (0.04),←,
15,"Stafford, Greg",22y 242d,44 (18-1-25 42.05%),7 (0.16),←,
20,"Stevens, John",25y 315d,3 (2-0-1 66.67%),2 (0.67),←,
Totals,Totals,25y 69d,1742 (714-24-1004 40.99%),2218 (1.27),,
C,"Eade, Rodney",39y 22d,30 (20-1-9 68.33%),,←,
