Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",29y 44d,231 (96-1-134 41.77%),153 (0.66),←,
7,"Brown, Nathan",29y 175d,184 (79-3-102 43.75%),292 (1.59),47 (15-0-32 31.91%),86 (1.83)
39,"Connors, Daniel",18y 316d,2 (0-0-2 0.00%),,←,
3,"Deledio, Brett",20y 108d,58 (22-1-35 38.79%),29 (0.50),←,
10,"Edwards, Shane",18y 283d,12 (0-1-11 4.17%),8 (0.67),←,
41,"Foley, Nathan",21y 330d,45 (13-1-31 30.00%),8 (0.18),←,
44,"Graham, Angus",20y 110d,1 (0-0-1 0.00%),,←,
34,"Hughes, Cleve",20y 201d,10 (3-0-7 30.00%),11 (1.10),←,
17,"Johnson, Kane",29y 142d,198 (83-1-114 42.17%),70 (0.35),94 (28-1-65 30.32%),26 (0.28)
46,"King, Jake",23y 131d,15 (1-1-13 10.00%),2 (0.13),←,
38,"McGuane, Luke",20y 173d,12 (0-0-12 0.00%),,←,
1,"Newman, Chris",25y 78d,107 (32-1-74 30.37%),11 (0.10),←,
15,"Pettifer, Kayne",25y 194d,99 (36-1-62 36.87%),115 (1.16),←,
6,"Polak, Graham",23y 49d,91 (41-1-49 45.60%),14 (0.15),18 (1-1-16 8.33%),5 (0.28)
4,"Raines, Andrew",21y 149d,47 (15-1-31 32.98%),1 (0.02),←,
12,"Richardson, Matthew",32y 138d,252 (104-1-147 41.47%),735 (2.92),←,
8,"Riewoldt, Jack",18y 277d,5 (0-0-5 0.00%),4 (0.80),←,
5,"Simmonds, Troy",29y 22d,157 (73-0-84 46.50%),111 (0.71),53 (21-0-32 39.62%),45 (0.85)
30,"Tambling, Richard",20y 326d,49 (19-1-29 39.80%),37 (0.76),←,
36,"Thursfield, Will",21y 107d,18 (3-1-14 19.44%),,←,
32,"Tivendale, Greg",28y 107d,181 (70-1-110 38.95%),122 (0.67),←,
21,"Tuck, Shane",25y 223d,65 (22-1-42 34.62%),31 (0.48),←,
Totals,Totals,23y 300d,1839 (712-18-1109 38.72%),1754 (0.95),,
C,"Wallace, Terry",48y 234d,210 (101-3-106 48.81%),,62 (22-1-39 36.29%),
