Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
16,"Begley, Josh",20y 359d,14 (8-0-6 57.14%),14 (1.00),←,
2,"Bellchambers, Tom",29y 353d,127 (57-2-68 45.67%),76 (0.60),←,
28,"Brown, Mitch",28y 303d,61 (29-0-32 47.54%),56 (0.92),46 (16-0-30 34.78%),47 (1.02)
37,"Clarke, Dylan",20y 294d,5 (4-0-1 80.00%),,←,
13,"Fantasia, Orazio",23y 286d,69 (28-1-40 41.30%),105 (1.52),←,
10,"Francis, Aaron",21y 321d,19 (8-0-11 42.11%),5 (0.26),←,
8,"Gleeson, Martin",24y 306d,70 (22-1-47 32.14%),5 (0.07),←,
21,"Heppell, Dyson",27y 44d,165 (81-2-82 49.70%),58 (0.35),←,
26,"Hooker, Cale",30y 257d,186 (87-2-97 47.31%),84 (0.45),←,
18,"Hurley, Michael",29y 26d,174 (82-3-89 47.99%),108 (0.62),←,
4,"Langford, Kyle",22y 208d,56 (21-0-35 37.50%),37 (0.66),←,
15,"Laverde, Jayden",23y 76d,35 (13-0-22 37.14%),26 (0.74),←,
43,"McDonald-Tipungwuti, Anthony",26y 66d,80 (34-0-46 42.50%),88 (1.10),←,
1,"McGrath, Andrew",21y 25d,55 (29-0-26 52.73%),12 (0.22),←,
45,"McKenna, Conor",23y 91d,65 (29-0-36 44.62%),18 (0.28),←,
44,"McKernan, Shaun",28y 299d,70 (28-0-42 40.00%),58 (0.83),36 (16-0-20 44.44%),37 (1.03)
7,"Merrett, Zach",23y 267d,117 (50-1-66 43.16%),39 (0.33),←,
3,"Parish, Darcy",21y 337d,68 (27-0-41 39.71%),27 (0.40),←,
27,"Redman, Mason",21y 305d,16 (8-0-8 50.00%),1 (0.06),←,
42,"Saad, Adam",24y 339d,84 (32-1-51 38.69%),4 (0.05),36 (19-0-17 52.78%),1 (0.03)
9,"Shiel, Dylan",26y 110d,148 (65-3-80 44.93%),68 (0.46),13 (6-0-7 46.15%),4 (0.31)
11,"Zaharakis, David",29y 126d,200 (90-2-108 45.50%),122 (0.61),←,
Totals,Totals,25y 19d,1884 (832-18-1034 44.16%),1011 (0.54),,
C,"Worsfold, John",50y 275d,362 (183-2-177 50.83%),,81 (34-0-47 41.98%),
