Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
9,"Angwin, Ryan",20y 160d,6 (1-0-5 16.67%),,←,
7,"Ash, Lachie",21y 334d,66 (27-1-38 41.67%),5 (0.08),←,
14,"Bedford, Toby",22y 359d,22 (13-0-9 59.09%),11 (0.50),4 (1-0-3 25.00%),2 (0.50)
32,"Briggs, Kieren",23y 227d,10 (4-0-6 40.00%),4 (0.40),←,
44,"Buckley, Jack",25y 155d,27 (10-1-16 38.89%),,←,
5,"Cadman, Aaron",19y 79d,6 (2-0-4 33.33%),4 (0.67),←,
17,"Callaghan, Finn",20y 25d,15 (4-0-11 26.67%),3 (0.20),←,
3,"Coniglio, Stephen",29y 157d,187 (81-1-105 43.58%),106 (0.57),←,
16,"Daniels, Brent",24y 73d,71 (37-0-34 52.11%),35 (0.49),←,
29,"Fleeton, Cameron",20y 338d,2 (0-0-2 0.00%),,←,
4,"Greene, Toby",29y 238d,199 (89-2-108 45.23%),287 (1.44),←,
12,"Green, Tom",22y 118d,54 (21-1-32 39.81%),22 (0.41),←,
19,"Haynes, Nick",31y 3d,193 (88-4-101 46.63%),12 (0.06),←,
27,"Himmelberg, Harry",27y 13d,137 (71-2-64 52.55%),159 (1.16),←,
23,"Hogan, Jesse",28y 98d,127 (55-0-72 43.31%),246 (1.94),37 (14-0-23 37.84%),76 (2.05)
39,"Idun, Connor",22y 296d,52 (21-1-30 41.35%),,←,
22,"Kelly, Josh",28y 98d,185 (94-3-88 51.62%),112 (0.61),←,
33,"OHalloran, Xavier",22y 314d,39 (15-1-23 39.74%),14 (0.36),←,
20,"Peatling, James",22y 273d,25 (9-0-16 36.00%),9 (0.36),←,
36,"Perryman, Harry",24y 153d,92 (43-1-48 47.28%),25 (0.27),←,
26,"Riccardi, Jake",23y 195d,34 (12-0-22 35.29%),28 (0.82),←,
8,"Ward, Callan",33y 41d,279 (120-4-155 43.73%),140 (0.50),219 (88-4-127 41.10%),107 (0.49)
6,"Whitfield, Lachie",28y 307d,194 (91-4-99 47.94%),70 (0.36),←,
Totals,Totals,24y 335d,2022 (908-26-1088 44.91%),1292 (0.64),,
C,"Kingsley, Adam",47y 274d,10 (3-0-7 30.00%),,←,
