Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
9,"Acres, Blake",25y 207d,89 (36-1-52 41.01%),30 (0.34),14 (7-0-7 50.00%),1 (0.07)
11,"Aish, James",25y 175d,105 (43-0-62 40.95%),24 (0.23),23 (10-0-13 43.48%),1 (0.04)
8,"Brayshaw, Andrew",21y 175d,63 (26-0-37 41.27%),15 (0.24),←,
27,"Chapman, Heath",19y 91d,6 (4-0-2 66.67%),1 (0.17),←,
33,"Colyer, Travis",29y 251d,113 (54-1-58 48.23%),69 (0.61),26 (11-0-15 42.31%),15 (0.58)
6,"Conca, Reece",28y 263d,147 (76-1-70 52.04%),25 (0.17),43 (18-0-25 41.86%),2 (0.05)
36,"Cox, Brennan",22y 262d,54 (20-0-34 37.04%),27 (0.50),←,
12,"Crowden, Mitch",22y 4d,27 (12-0-15 44.44%),10 (0.37),←,
4,"Darcy, Sean",22y 324d,47 (18-0-29 38.30%),18 (0.38),←,
44,"Duman, Taylin",23y 14d,40 (17-0-23 42.50%),1 (0.03),←,
43,"Frederick, Michael",20y 350d,16 (9-0-7 56.25%),9 (0.56),←,
7,"Fyfe, Nat",29y 226d,193 (103-1-89 53.63%),159 (0.82),←,
15,"Hughes, Ethan",26y 146d,74 (29-0-45 39.19%),4 (0.05),←,
37,"Lobb, Rory",28y 82d,109 (58-2-49 54.13%),89 (0.82),35 (16-0-19 45.71%),25 (0.71)
2,"Logue, Griffin",23y 19d,31 (11-0-20 35.48%),1 (0.03),←,
16,"Mundy, David",35y 286d,339 (171-1-167 50.59%),147 (0.43),←,
28,"Schultz, Lachie",23y 153d,30 (12-0-18 40.00%),26 (0.87),←,
3,"Serong, Caleb",20y 82d,21 (11-0-10 52.38%),3 (0.14),←,
20,"Taberner, Matthew",27y 319d,94 (44-0-50 46.81%),124 (1.32),←,
18,"Tucker, Darcy",24y 99d,79 (24-0-55 30.38%),33 (0.42),←,
10,"Walters, Michael",30y 115d,170 (83-1-86 49.12%),281 (1.65),←,
38,"Watson, Tobe",23y 150d,6 (3-0-3 50.00%),1 (0.17),←,
14,"Wilson, Nathan",28y 115d,137 (66-2-69 48.91%),18 (0.13),60 (26-0-34 43.33%),2 (0.03)
Totals,Totals,25y 122d,1990 (930-10-1050 46.73%),1115 (0.56),,
C,"Longmuir, Justin",40y 101d,24 (11-0-13 45.83%),,←,
