Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
19,"Betts, Eddie",18y 233d,13 (2-1-10 19.23%),12 (0.92),←,
18,"Bowyer, Glen",25y 201d,55 (28-1-26 51.82%),14 (0.25),20 (5-1-14 27.50%),
27,"Bryan, Chris",23y 133d,6 (0-0-6 0.00%),3 (0.50),←,
16,"Camporeale, Scott",29y 340d,227 (113-0-114 49.78%),198 (0.87),←,
44,"Carrazzo, Andrew",21y 214d,16 (4-1-11 28.13%),2 (0.13),←,
25,"Fevola, Brendan",24y 178d,97 (37-1-59 38.66%),232 (2.39),←,
14,"Fisher, Brad",21y 99d,32 (8-0-24 25.00%),37 (1.16),←,
10,"Johnson, Brett",23y 262d,70 (31-1-38 45.00%),19 (0.27),32 (10-1-21 32.81%),9 (0.28)
43,"Koutoufides, Anthony",32y 180d,243 (129-2-112 53.50%),202 (0.83),←,
12,"Lappin, Matthew",29y 150d,208 (90-2-116 43.75%),215 (1.03),153 (62-1-90 40.85%),189 (1.24)
4,"Livingston, Luke",22y 255d,39 (7-0-32 17.95%),2 (0.05),←,
21,"Longmuir, Troy",26y 53d,79 (24-1-54 31.01%),46 (0.58),7 (1-1-5 21.43%),7 (1.00)
20,"McGrath, Cory",26y 163d,53 (26-1-26 50.00%),18 (0.34),25 (8-1-16 34.00%),4 (0.16)
28,"Prendergast, Ian",24y 318d,61 (17-0-44 27.87%),14 (0.23),←,
29,"Scotland, Heath",24y 361d,88 (35-0-53 39.77%),30 (0.34),35 (12-0-23 34.29%),18 (0.51)
6,"Simpson, Kade",21y 73d,15 (5-0-10 33.33%),7 (0.47),←,
24,"Stevens, Nick",25y 195d,163 (85-3-75 53.07%),93 (0.57),36 (11-1-24 31.94%),15 (0.42)
15,"Teague, David",24y 73d,70 (30-1-39 43.57%),6 (0.09),37 (12-1-24 33.78%),2 (0.05)
32,"Thornton, Bret",21y 244d,65 (17-0-48 26.15%),1 (0.02),←,
30,"Waite, Jarrad",22y 163d,44 (10-1-33 23.86%),41 (0.93),←,
1,"Walker, Andrew",19y 60d,29 (8-1-20 29.31%),6 (0.21),←,
8,"Whitnall, Lance",25y 328d,173 (80-1-92 46.53%),313 (1.81),←,
Totals,Totals,24y 128d,1846 (786-18-1042 42.58%),1511 (0.82),,
C,"Pagan, Denis",57y 296d,300 (166-1-133 55.50%),,60 (16-1-43 27.50%),
