Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
13,"Acres, Blake",27y 247d,132 (56-3-73 43.56%),40 (0.30),12 (3-1-8 29.17%),3 (0.25)
37,"Boyd, Jordan",24y 262d,11 (4-0-7 36.36%),,←,
5,"Cerra, Adam",23y 247d,107 (46-1-60 43.46%),24 (0.22),31 (14-1-16 46.77%),8 (0.26)
39,"Cincotta, Alex",26y 176d,6 (1-0-5 16.67%),1 (0.17),←,
46,"Cottrell, Matthew",23y 103d,42 (18-0-24 42.86%),15 (0.36),←,
9,"Cripps, Patrick",28y 85d,172 (53-2-117 31.40%),88 (0.51),←,
30,"Curnow, Charlie",26y 128d,97 (27-1-69 28.35%),183 (1.89),←,
35,"Curnow, Ed",33y 216d,216 (79-3-134 37.27%),52 (0.24),←,
12,"De Koning, Tom",23y 330d,49 (22-1-26 45.92%),14 (0.29),←,
15,"Docherty, Sam",29y 237d,155 (56-2-97 36.77%),20 (0.13),142 (50-2-90 35.92%),19 (0.13)
2,"Dow, Paddy",23y 238d,65 (16-0-49 24.62%),19 (0.29),←,
17,"Kemp, Brodie",22y 41d,11 (4-0-7 36.36%),1 (0.09),←,
7,"Kennedy, Matthew",26y 66d,89 (39-3-47 45.51%),38 (0.43),70 (28-1-41 40.71%),31 (0.44)
21,"Martin, Jack",28y 133d,137 (41-2-94 30.66%),114 (0.83),40 (16-1-23 41.25%),33 (0.82)
11,"McGovern, Mitch",28y 243d,100 (51-2-47 52.00%),104 (1.04),52 (17-1-34 33.65%),37 (0.71)
10,"McKay, Harry",25y 169d,99 (35-1-63 35.86%),192 (1.94),←,
3,"Motlop, Jesse",19y 200d,24 (8-1-15 35.42%),22 (0.92),←,
44,"Owies, Matthew",26y 84d,39 (18-1-20 47.44%),41 (1.05),←,
42,"Saad, Adam",28y 323d,164 (66-3-95 41.16%),10 (0.06),55 (23-1-31 42.73%),2 (0.04)
1,"Silvagni, Jack",25y 176d,111 (38-1-72 34.68%),81 (0.73),←,
18,"Walsh, Sam",22y 344d,90 (34-0-56 37.78%),34 (0.38),←,
23,"Weitering, Jacob",25y 200d,146 (46-1-99 31.85%),11 (0.08),←,
33,"Young, Lewis",24y 173d,55 (28-1-26 51.82%),2 (0.04),31 (13-1-17 43.55%),1 (0.03)
Totals,Totals,25y 319d,2117 (786-29-1302 37.13%),1106 (0.52),,
C,"Voss, Michael",47y 339d,143 (58-2-83 41.26%),,34 (15-1-18 45.59%),
