North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",28y 294d,229 (105-1-123 46.07%),45 (0.20),←,
10,"Cunnington, Ben",30y 4d,225 (112-1-112 50.00%),94 (0.42),←,
9,"Davies-Uniacke, Luke",22y 26d,43 (12-1-30 29.07%),12 (0.28),←,
14,"Dumont, Trent",26y 4d,106 (38-1-67 36.32%),26 (0.25),←,
40,"Ford, Eddie",19y 13d,1 (0-0-1 0.00%),,←,
22,"Goldstein, Todd",33y 3d,266 (124-2-140 46.99%),134 (0.50),←,
43,"Hall, Aaron",30y 237d,137 (39-2-96 29.20%),92 (0.67),34 (6-1-27 19.12%),16 (0.47)
20,"Larkey, Nick",23y 28d,44 (13-1-30 30.68%),61 (1.39),←,
1,"Mahony, Jack",19y 234d,25 (3-1-21 14.00%),10 (0.40),←,
11,"McDonald, Luke",26y 145d,130 (61-0-69 46.92%),16 (0.12),←,
23,"McKay, Ben",23y 192d,30 (4-1-25 15.00%),,←,
29,"Phillips, Will",19y 43d,9 (2-0-7 22.22%),2 (0.22),←,
8,"Scott, Bailey",20y 360d,27 (2-1-24 9.26%),16 (0.59),←,
12,"Simpkin, Jy",23y 121d,88 (30-1-57 34.66%),35 (0.40),←,
2,"Stephenson, Jaidyn",22y 170d,66 (35-1-30 53.79%),88 (1.33),12 (1-1-10 12.50%),12 (1.00)
25,"Tarrant, Robbie",32y 70d,168 (76-1-91 45.54%),44 (0.26),←,
5,"Taylor, Curtis",21y 89d,23 (5-1-17 23.91%),7 (0.30),←,
26,"Thomas, Tarryn",21y 101d,41 (14-1-26 35.37%),35 (0.85),←,
28,"Turner, Kayne",25y 185d,94 (43-1-50 46.28%),55 (0.59),←,
19,"Walker, Josh",28y 234d,116 (42-2-72 37.07%),74 (0.64),31 (5-1-25 17.74%),5 (0.16)
38,"Xerri, Tristan",22y 111d,8 (1-1-6 18.75%),4 (0.50),←,
7,"Ziebell, Jack",30y 126d,233 (106-1-126 45.71%),165 (0.71),←,
44,"Zurhaar, Cameron",23y 43d,58 (18-1-39 31.90%),68 (1.17),←,
Totals,Totals,24y 330d,2167 (885-23-1259 40.84%),1083 (0.50),,
C,"Noble, David",54y 50d,15 (2-1-12 16.67%),,←,
