Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
11,"Ackland, Cain",25y 91d,65 (38-0-27 58.46%),23 (0.35),12 (4-0-8 33.33%),2 (0.17)
31,"Bannister, Jordan",24y 227d,51 (18-2-31 37.25%),10 (0.20),37 (10-1-26 28.38%),10 (0.27)
7,"Bentick, Adam",22y 2d,46 (12-1-33 27.17%),12 (0.26),←,
13,"Blackwell, Luke",20y 218d,18 (3-1-14 19.44%),4 (0.22),←,
44,"Carrazzo, Andrew",23y 182d,53 (13-2-38 26.42%),14 (0.26),←,
25,"Fevola, Brendan",26y 146d,135 (46-2-87 34.81%),366 (2.71),←,
14,"Fisher, Brad",23y 67d,61 (17-1-43 28.69%),75 (1.23),←,
4,"Gibbs, Bryce",18y 92d,12 (4-0-8 33.33%),1 (0.08),←,
33,"Houlihan, Ryan",25y 145d,148 (47-2-99 32.43%),90 (0.61),←,
43,"Koutoufides, Anthony",34y 148d,273 (136-3-134 50.37%),224 (0.82),←,
12,"Lappin, Matthew",31y 118d,245 (99-2-144 40.82%),240 (0.98),190 (71-1-118 37.63%),214 (1.13)
3,"Murphy, Marc",19y 331d,25 (6-0-19 24.00%),14 (0.56),←,
17,"OhAilpin, Setanta",24y 89d,24 (5-1-18 22.92%),5 (0.21),←,
2,"Russell, Jordan",20y 221d,21 (4-1-16 21.43%),3 (0.14),←,
9,"Saddington, Jason",27y 235d,154 (76-1-77 49.68%),43 (0.28),12 (3-0-9 25.00%),2 (0.17)
29,"Scotland, Heath",26y 329d,128 (44-1-83 34.77%),40 (0.31),75 (21-1-53 28.67%),28 (0.37)
6,"Simpson, Kade",23y 41d,55 (14-1-40 26.36%),30 (0.55),←,
32,"Thornton, Bret",23y 212d,102 (25-1-76 25.00%),1 (0.01),←,
30,"Waite, Jarrad",24y 131d,75 (19-2-54 26.67%),87 (1.16),←,
1,"Walker, Andrew",21y 28d,67 (16-2-49 25.37%),22 (0.33),←,
8,"Whitnall, Lance",27y 296d,213 (89-2-122 42.25%),344 (1.62),←,
34,"Wiggins, Simon",24y 277d,84 (24-1-59 29.17%),20 (0.24),←,
Totals,Totals,24y 181d,2055 (755-29-1271 36.74%),1668 (0.81),,
C,"Pagan, Denis",59y 264d,340 (175-2-163 51.76%),,100 (25-2-73 26.00%),
