Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",33y 48d,300 (159-2-139 53.33%),386 (1.29),108 (35-0-73 32.41%),124 (1.15)
13,"Ah Chee, Callum",19y 265d,23 (7-0-16 30.43%),20 (0.87),←,
27,"Ainsworth, Ben",19y 141d,6 (2-0-4 33.33%),7 (1.17),←,
39,"Davis, Ryan",28y 24d,34 (10-0-24 29.41%),19 (0.56),20 (7-0-13 35.00%),15 (0.75)
8,"Fiorini, Brayden",19y 313d,10 (3-0-7 30.00%),6 (0.60),←,
1,"Hanley, Pearce",28y 228d,136 (41-0-95 30.15%),58 (0.43),7 (3-0-4 42.86%),
5,"Harbrow, Jarrod",28y 348d,194 (77-2-115 40.21%),53 (0.27),124 (37-1-86 30.24%),32 (0.26)
23,"Lemmens, Sean",22y 241d,63 (21-1-41 34.13%),15 (0.24),←,
21,"Leslie, Jack",22y 65d,18 (5-0-13 27.78%),,←,
7,"Lonergan, Jesse",22y 229d,51 (14-1-36 28.43%),5 (0.10),←,
19,"Lynch, Tom",24y 243d,116 (34-1-81 29.74%),222 (1.91),←,
25,"Lyons, Jarryd",24y 344d,69 (40-0-29 57.97%),40 (0.58),14 (6-0-8 42.86%),8 (0.57)
4,"Martin, Jack",22y 153d,58 (19-1-38 33.62%),48 (0.83),←,
17,"May, Steven",25y 172d,100 (34-1-65 34.50%),17 (0.17),←,
11,"Miller, Touk",21y 129d,52 (13-1-38 25.96%),16 (0.31),←,
3,"Rosa, Matt",30y 220d,194 (96-1-97 49.74%),43 (0.22),26 (9-0-17 34.62%),4 (0.15)
42,"Saad, Adam",22y 343d,40 (13-1-26 33.75%),2 (0.05),←,
6,"Sexton, Alex",23y 210d,69 (21-0-48 30.43%),41 (0.59),←,
24,"Swallow, David",24y 224d,90 (28-0-62 31.11%),45 (0.50),←,
16,"Thompson, Rory",26y 111d,84 (26-1-57 31.55%),7 (0.08),←,
28,"Witts, Jarrod",24y 291d,54 (24-0-30 44.44%),20 (0.37),14 (6-0-8 42.86%),2 (0.14)
30,"Wright, Peter",20y 296d,34 (9-0-25 26.47%),46 (1.35),←,
Totals,Totals,24y 161d,1795 (696-13-1086 38.77%),1116 (0.62),,
C,"Eade, Rodney",59y 88d,372 (185-5-182 50.40%),,58 (16-1-41 28.45%),
