Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
30,"Bayes, Mark",29y 142d,214 (81-2-131 38.32%),145 (0.68),←,
23,"Crawford, Justin",19y 137d,15 (9-1-5 63.33%),10 (0.67),←,
8,"Cresswell, Daryn",25y 74d,86 (24-1-61 28.49%),69 (0.80),←,
18,"Direen, Scott",23y 289d,47 (17-0-30 36.17%),10 (0.21),←,
6,"Dunkley, Andrew",28y 36d,93 (28-2-63 31.18%),7 (0.08),←,
10,"Filandia, Peter",26y 82d,43 (17-1-25 40.70%),35 (0.81),30 (10-1-19 35.00%),21 (0.70)
29,"Garlick, Simon",21y 116d,35 (19-0-16 54.29%),24 (0.69),←,
9,"Grant, Shannon",19y 107d,28 (15-1-12 55.36%),20 (0.71),←,
39,"Heuskes, Adam",20y 137d,42 (20-0-22 47.62%),5 (0.12),←,
14,"Kelly, Paul",27y 7d,130 (36-3-91 28.85%),78 (0.60),←,
24,"Kickett, Derek",33y 303d,145 (76-2-67 53.10%),173 (1.19),56 (24-1-31 43.75%),67 (1.20)
37,"King, Clinton",18y 133d,4 (3-0-1 75.00%),3 (0.75),←,
4,"Lockett, Tony",30y 148d,219 (89-1-129 40.87%),1102 (5.03),36 (21-1-14 59.72%),204 (5.67)
34,"Luff, Troy",26y 256d,58 (21-2-35 37.93%),48 (0.83),←,
11,"Maxfield, Stuart",24y 117d,107 (48-2-57 45.79%),76 (0.71),18 (13-1-4 75.00%),11 (0.61)
32,"McPherson, Daniel",21y 30d,19 (12-1-6 65.79%),3 (0.16),←,
17,"Mooney, Jason",23y 60d,51 (11-0-40 21.57%),22 (0.43),←,
19,"OLoughlin, Michael",19y 166d,29 (16-1-12 56.90%),27 (0.93),←,
1,"Roos, Paul",33y 38d,307 (130-1-176 42.51%),281 (0.92),38 (20-1-17 53.95%),11 (0.29)
22,"Rose, Gavin",26y 310d,55 (13-1-41 24.55%),4 (0.07),←,
7,"Seymour, Brad",20y 93d,33 (14-1-18 43.94%),1 (0.03),←,
Totals,Totals,24y 237d,1760 (699-23-1038 39.72%),2143 (1.22),,
C,"Eade, Rodney",38y 122d,18 (13-1-4 75.00%),,←,
