Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
10,"Ashcroft, Marcus",25y 193d,154 (54-2-98 35.71%),86 (0.56),2 (1-0-1 50.00%),2 (1.00)
34,"Bamford, Scott",22y 287d,23 (2-0-21 8.70%),7 (0.30),1 (1-0-0 100.00%),1 (1.00)
25,"Bews, Andrew",32y 261d,264 (139-2-123 53.03%),134 (0.51),1 (1-0-0 100.00%),
1,"Champion, Richard",28y 357d,121 (45-2-74 38.02%),38 (0.31),2 (1-0-1 50.00%),1 (0.50)
16,"Clarke, Matthew",23y 200d,71 (37-1-33 52.82%),6 (0.08),2 (1-0-1 50.00%),
14,"Dickfos, Danny",26y 188d,24 (17-1-6 72.92%),,2 (1-0-1 50.00%),
6,"Fletcher, Adrian",27y 178d,133 (64-1-68 48.50%),73 (0.55),2 (1-0-1 50.00%),4 (2.00)
8,"Gowers, Andrew",27y 360d,131 (81-1-49 62.21%),62 (0.47),2 (1-0-1 50.00%),1 (0.50)
32,"Hart, Shaun",25y 324d,104 (38-1-65 37.02%),81 (0.78),2 (1-0-1 50.00%),
2,"Johnson, Chris",20y 311d,61 (8-0-53 13.11%),71 (1.16),2 (1-0-1 50.00%),4 (2.00)
27,"Keating, Clark",21y 18d,16 (11-1-4 71.88%),14 (0.88),2 (1-0-1 50.00%),5 (2.50)
41,"Kennedy, Matthew",27y 61d,115 (40-1-74 35.22%),25 (0.22),2 (1-0-1 50.00%),
18,"Lambert, Craig",28y 183d,173 (58-1-114 33.82%),72 (0.42),1 (1-0-0 100.00%),
44,"Lappin, Nigel",20y 289d,63 (33-1-29 53.17%),40 (0.63),2 (1-0-1 50.00%),
23,"Leppitsch, Justin",21y 187d,46 (23-1-22 51.09%),62 (1.35),2 (1-0-1 50.00%),4 (2.00)
7,"McIvor, Scott",30y 240d,195 (72-1-122 37.18%),94 (0.48),2 (1-0-1 50.00%),2 (1.00)
20,"Molloy, Jarrod",20y 329d,61 (9-0-52 14.75%),54 (0.89),2 (1-0-1 50.00%),
28,"Robbins, Ben",20y 100d,7 (4-0-3 57.14%),3 (0.43),2 (1-0-1 50.00%),2 (1.00)
38,"Scott, Dion",27y 5d,57 (28-0-29 49.12%),42 (0.74),2 (1-0-1 50.00%),3 (1.50)
3,"Voss, Michael",21y 273d,81 (39-1-41 48.77%),76 (0.94),2 (1-0-1 50.00%),4 (2.00)
33,"White, Darryl",23y 298d,92 (40-2-50 44.57%),107 (1.16),2 (1-0-1 50.00%),1 (0.50)
Totals,Totals,25y 12d,1992 (842-20-1130 42.27%),1147 (0.58),,
C,"Northey, John",53y 281d,283 (146-3-134 52.12%),,2 (1-0-1 50.00%),
