Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
31,"Ball, Matthew",22y 118d,9 (1-0-8 11.11%),2 (0.22),←,
27,"Barker, John",29y 120d,153 (61-1-91 40.20%),114 (0.75),98 (54-0-44 55.10%),101 (1.03)
10,"Bateman, Chance",22y 363d,36 (16-0-20 44.44%),12 (0.33),←,
20,"Beaumont, Simon",28y 188d,164 (74-0-90 45.12%),92 (0.56),12 (2-0-10 16.67%),3 (0.25)
25,"Clarke, Tim",22y 77d,38 (20-0-18 52.63%),9 (0.24),←,
24,"Croad, Trent",24y 101d,134 (66-1-67 49.63%),145 (1.08),96 (46-1-49 48.44%),85 (0.89)
19,"Dixon, Ben",27y 4d,141 (73-1-67 52.13%),190 (1.35),←,
1,"Everitt, Peter",30y 46d,207 (82-2-123 40.10%),335 (1.62),27 (9-0-18 33.33%),35 (1.30)
34,"Graham, Mark",31y 97d,214 (101-2-111 47.66%),60 (0.28),←,
29,"Greene, Steven",22y 145d,34 (16-0-18 47.06%),11 (0.32),←,
3,"Hay, Jonathan",24y 310d,121 (58-1-62 48.35%),12 (0.10),←,
15,"Hodge, Luke",20y 3d,37 (18-0-19 48.65%),26 (0.70),←,
2,"Holland, Nick",29y 325d,171 (78-2-91 46.20%),233 (1.36),←,
8,"Jacobs, Danny",23y 359d,91 (56-1-34 62.09%),26 (0.29),10 (2-0-8 20.00%),3 (0.30)
18,"Ladson, Rick",20y 121d,12 (4-0-8 33.33%),9 (0.75),←,
37,"Lekkas, Angelo",27y 355d,162 (71-1-90 44.14%),105 (0.65),←,
12,"Lonie, Nathan",21y 106d,46 (17-0-29 36.96%),21 (0.46),←,
40,"Osborne, Michael",21y 325d,33 (11-0-22 33.33%),5 (0.15),←,
16,"Ries, Nick",21y 340d,51 (23-0-28 45.10%),14 (0.27),←,
11,"Smith, Joel",27y 46d,156 (76-1-79 49.04%),80 (0.51),98 (47-1-50 48.47%),29 (0.30)
23,"Thompson, Nathan",26y 125d,111 (54-1-56 49.10%),176 (1.59),←,
6,"Williams, Mark",21y 66d,24 (8-0-16 33.33%),32 (1.33),←,
Totals,Totals,24y 319d,2145 (984-14-1147 45.87%),1709 (0.80),,
C,"Schwab, Peter",43y 270d,105 (52-0-53 49.52%),,←,
