St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
29,"Baker, Steven",22y 52d,41 (9-1-31 23.17%),8 (0.20),←,
6,"Black, Heath",23y 46d,80 (19-0-61 23.75%),39 (0.49),11 (1-0-10 9.09%),4 (0.36)
20,"Clarke, Xavier",18y 288d,13 (2-1-10 19.23%),9 (0.69),←,
18,"Cripps, Jason",25y 272d,53 (26-1-26 50.00%),10 (0.19),←,
26,"Dal Santo, Nick",18y 141d,12 (2-1-9 20.83%),5 (0.42),←,
10,"Everitt, Peter",28y 71d,173 (71-2-100 41.62%),289 (1.67),←,
9,"Gehrig, Fraser",26y 132d,140 (67-1-72 48.21%),168 (1.20),25 (4-0-21 16.00%),9 (0.36)
2,"Hamill, Aaron",24y 327d,126 (55-0-71 43.65%),156 (1.24),34 (6-0-28 17.65%),42 (1.24)
35,"Harvey, Robert",30y 326d,255 (119-3-133 47.25%),149 (0.58),←,
7,"Hayes, Lenny",22y 180d,64 (16-2-46 26.56%),25 (0.39),←,
5,"Jones, Austinn",25y 288d,150 (59-2-89 40.00%),106 (0.71),←,
15,"Lawrence, Steven",26y 55d,100 (43-3-54 44.50%),48 (0.48),19 (3-1-15 18.42%),5 (0.26)
23,"Loewe, Stewart",34y 51d,315 (133-2-180 42.54%),586 (1.86),←,
31,"Maguire, Matt",18y 44d,8 (2-0-6 25.00%),1 (0.13),←,
44,"Milne, Stephen",22y 127d,31 (6-1-24 20.97%),61 (1.97),←,
43,"Moyle, Brett",22y 104d,32 (6-0-26 18.75%),10 (0.31),←,
1,"Peckett, Justin",29y 281d,182 (73-2-107 40.66%),27 (0.15),←,
12,"Riewoldt, Nick",19y 269d,21 (4-1-16 21.43%),12 (0.57),←,
40,"Schwarze, Troy",20y 202d,22 (4-1-17 20.45%),5 (0.23),←,
4,"Thompson, Andrew",29y 265d,124 (47-2-75 38.71%),71 (0.57),←,
13,"Voss, Brett",24y 141d,69 (26-2-41 39.13%),26 (0.38),34 (7-1-26 22.06%),15 (0.44)
30,"Wulf, Daniel",22y 55d,17 (1-1-15 8.82%),6 (0.35),←,
Totals,Totals,24y 136d,2028 (790-29-1209 38.95%),1817 (0.90),,
C,"Thomas, Grant",44y 149d,22 (4-1-17 20.45%),,←,
