Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
23,"Atkins, Simon",26y 226d,145 (65-2-78 45.52%),83 (0.57),18 (2-0-16 11.11%),7 (0.39)
32,"Baldwin, Jason",25y 272d,110 (37-0-73 33.64%),33 (0.30),←,
41,"Bird, Peter",19y 188d,12 (2-0-10 16.67%),5 (0.42),←,
14,"Bizzotto, Frank",24y 68d,32 (8-0-24 25.00%),4 (0.13),←,
1,"Boyd, Brad",23y 361d,52 (15-0-37 28.85%),41 (0.79),←,
27,"Chandler, Brett",20y 26d,9 (1-0-8 11.11%),,←,
35,"Cook, Brett",22y 109d,18 (1-0-17 5.56%),4 (0.22),←,
31,"Dent, Matthew",23y 201d,24 (3-0-21 12.50%),3 (0.13),←,
28,"Doyle, Peter",21y 347d,1 (0-0-1 0.00%),,←,
6,"Guard, Jeremy",25y 26d,65 (25-0-40 38.46%),17 (0.26),←,
17,"Hawking, Simon",22y 154d,40 (11-0-29 27.50%),8 (0.20),←,
3,"Hawkins, Doug",35y 93d,347 (146-4-197 42.65%),225 (0.65),18 (2-0-16 11.11%),9 (0.50)
36,"Lamb, Wayne",22y 291d,14 (0-1-13 3.57%),7 (0.50),12 (0-0-12 0.00%),7 (0.58)
30,"Manson, James",28y 277d,163 (83-3-77 51.84%),125 (0.77),43 (13-0-30 30.23%),19 (0.44)
25,"McCarthy, John",28y 129d,145 (51-1-93 35.52%),167 (1.15),53 (13-0-40 24.53%),66 (1.25)
7,"Molloy, Jarrod",19y 86d,36 (7-0-29 19.44%),36 (1.00),←,
34,"Morton, Danny",22y 36d,12 (3-0-9 25.00%),5 (0.42),←,
4,"Paxman, Stephen",24y 245d,77 (21-0-56 27.27%),14 (0.18),←,
8,"Pike, Martin",22y 265d,34 (11-0-23 32.35%),34 (1.00),10 (1-0-9 10.00%),9 (0.90)
22,"Stretch, Steven",31y 213d,189 (94-1-94 50.00%),78 (0.41),25 (4-0-21 16.00%),7 (0.28)
16,"Zanotti, Mark",30y 271d,153 (43-0-110 28.10%),19 (0.12),53 (15-0-38 28.30%),8 (0.15)
Totals,Totals,24y 307d,1678 (627-12-1039 37.37%),908 (0.54),,
C,"Quinlan, Bernie",44y 16d,18 (2-0-16 11.11%),,←,
