Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",23y 286d,118 (30-1-87 25.85%),66 (0.56),←,
36,"Bartlett, Trent",18y 224d,1 (0-0-1 0.00%),,←,
25,"Bews, Andrew",30y 354d,237 (121-1-115 51.27%),133 (0.56),30 (11-0-19 36.67%),1 (0.03)
1,"Champion, Richard",27y 85d,86 (21-1-64 25.00%),32 (0.37),←,
5,"Chapman, Nathan",20y 62d,34 (6-0-28 17.65%),11 (0.32),←,
16,"Clarke, Matthew",21y 293d,35 (13-0-22 37.14%),3 (0.09),←,
6,"Fletcher, Adrian",25y 271d,98 (41-0-57 41.84%),48 (0.49),53 (16-0-37 30.19%),28 (0.53)
8,"Gowers, Andrew",26y 88d,102 (63-0-39 61.76%),55 (0.54),13 (4-0-9 30.77%),1 (0.08)
32,"Hart, Shaun",24y 52d,73 (16-1-56 22.60%),38 (0.52),←,
41,"Kennedy, Matthew",25y 154d,84 (20-0-64 23.81%),21 (0.25),←,
18,"Lambert, Craig",26y 276d,145 (40-0-105 27.59%),61 (0.42),22 (7-0-15 31.82%),8 (0.36)
44,"Lappin, Nigel",19y 17d,28 (10-0-18 35.71%),15 (0.54),←,
34,"Lawrence, Steven",19y 50d,10 (3-0-7 30.00%),,←,
23,"Leppitsch, Justin",19y 280d,21 (6-0-15 28.57%),13 (0.62),←,
2,"McAdam, Gilbert",28y 100d,83 (42-1-40 51.20%),77 (0.93),30 (12-0-18 40.00%),29 (0.97)
19,"McLean, Michael",30y 127d,169 (66-2-101 39.64%),39 (0.23),74 (19-0-55 25.68%),16 (0.22)
4,"McRae, Craig",21y 289d,14 (4-0-10 28.57%),12 (0.86),←,
24,"Merrett, Roger",35y 80d,287 (133-3-151 46.86%),392 (1.37),138 (36-1-101 26.45%),244 (1.77)
22,"Scott, Chris",19y 66d,25 (8-0-17 32.00%),17 (0.68),←,
3,"Voss, Michael",20y 1d,46 (15-0-31 32.61%),32 (0.70),←,
33,"White, Darryl",22y 26d,59 (17-1-41 29.66%),53 (0.90),←,
Totals,Totals,24y 30d,1755 (675-11-1069 38.46%),1118 (0.64),,
C,"Walls, Robert",44y 352d,299 (139-2-158 46.82%),,100 (24-1-75 24.50%),
