Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Batchelor, Jake",21y 95d,35 (15-2-18 45.71%),,←,
25,"Chaplin, Troy",27y 85d,147 (60-1-86 41.16%),11 (0.07),7 (5-0-2 71.43%),1 (0.14)
9,"Cotchin, Trent",23y 42d,93 (40-2-51 44.09%),55 (0.59),←,
7,"Dea, Matt",21y 218d,22 (9-1-12 43.18%),,←,
3,"Deledio, Brett",26y 31d,180 (69-5-106 39.72%),123 (0.68),←,
10,"Edwards, Shane",24y 206d,117 (41-5-71 37.18%),71 (0.61),←,
5,"Ellis, Brandon",19y 289d,29 (14-1-14 50.00%),4 (0.14),←,
41,"Foley, Nathan",27y 253d,122 (43-3-76 36.48%),34 (0.28),←,
6,"Grigg, Shaun",25y 30d,94 (41-2-51 44.68%),38 (0.40),51 (23-2-26 47.06%),28 (0.55)
14,"Houli, Bachar",25y 7d,78 (33-3-42 44.23%),20 (0.26),52 (23-2-27 46.15%),11 (0.21)
23,"Jackson, Daniel",27y 24d,131 (45-4-82 35.88%),41 (0.31),←,
28,"King, Jake",29y 54d,94 (34-4-56 38.30%),69 (0.73),←,
4,"Martin, Dustin",21y 327d,71 (28-2-41 40.85%),77 (1.08),←,
16,"McGuane, Luke",26y 96d,101 (34-4-63 35.64%),32 (0.32),←,
38,"Morris, Steven",24y 139d,28 (14-1-13 51.79%),2 (0.07),←,
26,"Nahas, Robin",25y 190d,81 (28-3-50 36.42%),99 (1.22),←,
18,"Rance, Alex",23y 222d,74 (25-2-47 35.14%),7 (0.09),←,
8,"Riewoldt, Jack",24y 200d,120 (45-4-71 39.17%),289 (2.41),←,
37,"Stephenson, Orren",30y 308d,10 (6-0-4 60.00%),1 (0.10),2 (2-0-0 100.00%),
29,"Vickery, Ty",22y 353d,61 (23-2-36 39.34%),60 (0.98),←,
31,"Vlastuin, Nick",19y 30d,4 (2-0-2 50.00%),2 (0.50),←,
35,"White, Matt",26y 34d,92 (34-4-54 39.13%),45 (0.49),←,
Totals,Totals,24y 247d,1784 (683-55-1046 38.28%),1080 (0.61),,
C,"Hardwick, Damien",40y 274d,74 (29-2-43 40.54%),,←,
