Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
38,"Byrne, Ciaran",23y 256d,21 (7-0-14 33.33%),,←,
9,"Cripps, Patrick",23y 154d,80 (18-1-61 23.13%),34 (0.43),←,
30,"Curnow, Charlie",21y 197d,46 (8-0-38 17.39%),59 (1.28),←,
35,"Curnow, Ed",28y 285d,142 (53-2-87 38.03%),27 (0.19),←,
12,"De Koning, Tom",19y 34d,1 (0-0-1 0.00%),1 (1.00),←,
2,"Dow, Paddy",18y 307d,20 (2-0-18 10.00%),7 (0.35),←,
13,"Lamb, Jed",25y 304d,65 (20-0-45 30.77%),43 (0.66),43 (11-0-32 25.58%),26 (0.60)
16,"Lang, Darcy",22y 271d,54 (28-1-25 52.78%),37 (0.69),10 (2-0-8 20.00%),6 (0.60)
27,"Lobbe, Matthew",29y 188d,97 (45-0-52 46.39%),22 (0.23),5 (1-0-4 20.00%),1 (0.20)
22,"Marchbank, Caleb",21y 255d,34 (8-0-26 23.53%),,27 (6-0-21 22.22%),
10,"McKay, Harry",20y 238d,14 (2-0-12 14.29%),21 (1.50),←,
18,"Mullett, Aaron",26y 177d,97 (41-0-56 42.27%),32 (0.33),12 (1-0-11 8.33%),1 (0.08)
3,"Murphy, Marc",31y 31d,248 (99-1-148 40.12%),173 (0.70),←,
4,"OBrien, Lochie",18y 335d,17 (2-0-15 11.76%),2 (0.12),←,
5,"Petrevski-Seton, Sam",20y 181d,41 (7-0-34 17.07%),15 (0.37),←,
29,"Polson, Cameron",20y 161d,12 (1-0-11 8.33%),1 (0.08),←,
17,"Rowe, Sam",30y 273d,98 (28-1-69 29.08%),17 (0.17),←,
1,"Silvagni, Jack",20y 245d,42 (6-0-36 14.29%),32 (0.76),←,
6,"Simpson, Kade",34y 106d,306 (110-3-193 36.44%),134 (0.44),←,
39,"Thomas, Dale",31y 59d,237 (124-2-111 52.74%),152 (0.64),80 (21-0-59 26.25%),31 (0.39)
23,"Weitering, Jacob",20y 269d,55 (12-0-43 21.82%),10 (0.18),←,
46,"Wright, Matthew",28y 248d,158 (64-0-94 40.51%),136 (0.86),64 (15-0-49 23.44%),73 (1.14)
Totals,Totals,24y 191d,1885 (685-11-1189 36.34%),955 (0.51),,
C,"Bolton, Brendon",39y 123d,70 (20-0-50 28.57%),,65 (15-0-50 23.08%),
