Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes,Brownlow Votes
Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Aarts, Jake",-,-,-,,-,,,,,-,,,,,,-,-,,,,,,,
"Baker, Liam",-,-,-,-,-,-,-,-,-,2,-,2,-,2,-,-,-,-,-,-,-,-,-,6.0
"Balta, Noah",-,2,-,-,-,-,-,-,-,,,-,-,,,,-,-,-,-,-,-,-,2.0
"Bolton, Shai",-,-,-,1,-,-,2,1,-,-,-,-,-,1,-,2,-,-,3,2,-,-,-,12.0
"Broad, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Castagna, Jason",-,-,-,-,-,-,-,-,-,-,-,,,,-,-,,,,-,-,-,,
"Clarke, Judson",,,,,,,,,,,,-,-,-,,,,,,,,,,
"Collier-Dawkins, Riley",,,,,,-,-,,,,,,,,,,,,,,,,,
"Cotchin, Trent",-,-,-,-,-,-,,-,-,-,2,-,-,,,,-,-,-,1,1,1,-,5.0
"Cumberland, Noah",,,,,,,,,,,-,,,,,-,-,-,-,-,-,-,-,
"Dow, Thomson",,-,-,-,-,-,,,,,,,,,,-,,,,,,,,
"Edwards, Shane",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Gibcus, Josh",-,-,-,-,,-,-,-,,-,-,-,-,-,-,,-,,,-,-,-,-,
"Graham, Jack",-,-,-,-,-,-,-,2,-,,-,-,-,-,-,-,-,-,-,-,-,,,2.0
"Grimes, Dylan",-,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Lambert, Kane",,,,,,,-,-,-,-,,-,-,,-,,,,,,,,,
"Lynch, Tom",-,-,-,-,-,-,3,3,1,-,,,-,-,-,-,,,2,-,3,2,-,14.0
"Mansell, Rhyan",,,,,,-,,-,,,,,,,,,,,,,,,,
"Martin, Dustin",-,,,,,,,-,2,-,-,-,,-,-,,,,,,,,-,2.0
"McIntosh, Kamdyn",,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Miller, Ben",,-,,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,
"Nankervis, Toby",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3.0
"Nyuon, Bigoa",,,,,,,,,-,,,,,,,,,,,,,,,
"Parker, Matthew",,-,-,-,-,-,,,,,,,,,,,,,,,,,,
"Pickett, Marlion",-,-,-,-,-,,,-,-,,,-,-,-,2,-,-,-,-,-,-,-,-,2.0
"Prestia, Dion",-,,,3,-,-,-,,3,3,-,-,3,-,,-,-,2,-,-,2,3,-,19.0
"Ralphsmith, Hugo",-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,,
"Riewoldt, Jack",-,,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Rioli, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rioli, Maurice",,,,,,,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,
"Ross, Jack",-,-,-,-,-,-,-,,,-,-,,,-,-,,,,-,-,,-,-,
"Short, Jayden",-,3,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0
"Soldo, Ivan",-,-,-,,,,-,-,-,-,-,-,,-,-,-,,-,,,,,,
"Sonsie, Tyler",,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,
"Stack, Sydney",,,,,,,-,-,,,,,,,,,,,,,,,,
"Tarrant, Robbie",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vlastuin, Nick",,,,,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
Totals,0,5,0,6,0,0,6,6,6,6,2,2,3,3,3,2,0,2,5,6,6,6,0,75.0
Opponent,CA,GW,SK,WB,AD,ME,WC,CW,HW,ES,SY,PA,CA,GE,WC,GC,NM,FR,BL,PA,HW,ES,BL,
