Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 170d,13 (5-0-8 38.46%),11 (0.85),←,
10,"Ashcroft, Marcus",23y 322d,123 (33-1-89 27.24%),71 (0.58),←,
36,"Bartlett, Trent",18y 260d,6 (3-0-3 50.00%),,←,
25,"Bews, Andrew",31y 25d,242 (124-1-117 51.45%),133 (0.55),35 (14-0-21 40.00%),1 (0.03)
1,"Champion, Richard",27y 121d,90 (24-1-65 27.22%),32 (0.36),←,
5,"Chapman, Nathan",20y 98d,39 (9-0-30 23.08%),12 (0.31),←,
16,"Clarke, Matthew",21y 329d,40 (16-0-24 40.00%),3 (0.08),←,
6,"Fletcher, Adrian",25y 307d,103 (44-0-59 42.72%),52 (0.50),58 (19-0-39 32.76%),32 (0.55)
32,"Hart, Shaun",24y 88d,78 (19-1-58 25.00%),50 (0.64),←,
41,"Kennedy, Matthew",25y 190d,88 (22-0-66 25.00%),21 (0.24),←,
18,"Lambert, Craig",26y 312d,149 (42-0-107 28.19%),61 (0.41),26 (9-0-17 34.62%),8 (0.31)
44,"Lappin, Nigel",19y 53d,32 (12-0-20 37.50%),18 (0.56),←,
2,"McAdam, Gilbert",28y 136d,88 (45-1-42 51.70%),78 (0.89),35 (15-0-20 42.86%),30 (0.86)
7,"McIvor, Scott",29y 4d,180 (64-0-116 35.56%),89 (0.49),125 (38-0-87 30.40%),74 (0.59)
19,"McLean, Michael",30y 163d,174 (69-2-103 40.23%),40 (0.23),79 (22-0-57 27.85%),17 (0.22)
4,"McRae, Craig",21y 325d,19 (7-0-12 36.84%),20 (1.05),←,
24,"Merrett, Roger",35y 116d,292 (136-3-153 47.09%),401 (1.37),143 (39-1-103 27.62%),253 (1.77)
22,"Scott, Chris",19y 102d,29 (10-0-19 34.48%),17 (0.59),←,
38,"Scott, Dion",25y 134d,40 (14-0-26 35.00%),24 (0.60),34 (13-0-21 38.24%),24 (0.71)
3,"Voss, Michael",20y 37d,51 (18-0-33 35.29%),38 (0.75),←,
33,"White, Darryl",22y 62d,64 (20-1-43 32.03%),60 (0.94),←,
Totals,Totals,24y 195d,1940 (736-11-1193 37.94%),1231 (0.63),,
C,"Walls, Robert",45y 23d,304 (142-2-160 47.04%),,105 (27-1-77 26.19%),
