Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",28y 180d,122 (58-1-63 47.95%),53 (0.43),←,
28,"Bell, Tom",24y 7d,40 (16-1-23 41.25%),31 (0.77),←,
7,"Buckley, Dylan",22y 96d,16 (5-0-11 31.25%),3 (0.19),←,
44,"Carrazzo, Andrew",31y 187d,186 (73-4-109 40.32%),47 (0.25),←,
41,"Casboult, Levi",25y 97d,45 (16-1-28 36.67%),43 (0.96),←,
9,"Cripps, Patrick",20y 94d,12 (3-1-8 29.17%),4 (0.33),←,
35,"Curnow, Ed",25y 225d,77 (37-2-38 49.35%),11 (0.14),←,
15,"Docherty, Sam",21y 246d,40 (13-1-26 33.75%),8 (0.20),27 (7-1-19 27.78%),7 (0.26)
33,"Everitt, Andrejs",26y 99d,107 (59-3-45 56.54%),57 (0.53),28 (8-0-20 28.57%),25 (0.89)
4,"Gibbs, Bryce",26y 97d,186 (82-2-102 44.62%),102 (0.55),←,
32,"Graham, Nick",21y 8d,14 (4-0-10 28.57%),5 (0.36),←,
23,"Henderson, Lachie",25y 188d,109 (49-1-59 45.41%),100 (0.92),94 (41-1-52 44.15%),97 (1.03)
8,"Kreuzer, Matthew",26y 38d,108 (56-0-52 51.85%),58 (0.54),←,
2,"Menzel, Troy",20y 271d,33 (12-1-20 37.88%),45 (1.36),←,
3,"Murphy, Marc",27y 336d,195 (85-1-109 43.85%),147 (0.75),←,
17,"Rowe, Sam",27y 213d,42 (14-1-27 34.52%),13 (0.31),←,
6,"Simpson, Kade",31y 46d,231 (93-3-135 40.91%),123 (0.53),←,
42,"Tuohy, Zach",25y 192d,87 (39-1-47 45.40%),31 (0.36),←,
1,"Walker, Andrew",29y 33d,186 (70-3-113 38.44%),119 (0.64),←,
43,"White, Simon",27y 3d,52 (25-2-25 50.00%),9 (0.17),←,
36,"Wood, Cameron",28y 108d,81 (38-1-42 47.53%),28 (0.35),17 (4-1-12 26.47%),7 (0.41)
13,"Yarran, Chris",24y 183d,112 (49-2-61 44.64%),89 (0.79),←,
Totals,Totals,25y 267d,2081 (896-32-1153 43.06%),1126 (0.54),,
C,"Barker, John",40y 121d,3 (1-0-2 33.33%),,←,
