West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
6,"Banfield, Drew",29y 52d,197 (108-1-88 55.08%),67 (0.34),←,
10,"Braun, Michael",25y 27d,96 (43-0-53 44.79%),32 (0.33),←,
46,"Carroll, Trent",24y 357d,60 (18-0-42 30.00%),5 (0.08),27 (9-0-18 33.33%),4 (0.15)
17,"Chick, Daniel",27y 69d,151 (75-2-74 50.33%),159 (1.05),2 (1-0-1 50.00%),
9,"Cousins, Ben",24y 294d,149 (75-1-73 50.67%),137 (0.92),←,
20,"Cox, Dean",21y 262d,39 (15-0-24 38.46%),11 (0.28),←,
32,"Embley, Andrew",21y 297d,59 (23-0-36 38.98%),46 (0.78),←,
7,"Fletcher, Chad",23y 233d,60 (21-1-38 35.83%),30 (0.50),←,
1,"Gardiner, Michael",23y 289d,97 (45-1-51 46.91%),56 (0.58),←,
23,"Glass, Darren",21y 341d,39 (13-0-26 33.33%),1 (0.03),←,
38,"Haynes, David",21y 314d,29 (11-0-18 37.93%),24 (0.83),←,
39,"Hunter, Adam",21y 306d,29 (10-0-19 34.48%),6 (0.21),←,
27,"Jakovich, Glen",30y 27d,253 (136-2-115 54.15%),42 (0.17),←,
18,"Jones, Rowan",23y 152d,73 (30-1-42 41.78%),34 (0.47),←,
3,"Judd, Chris",19y 224d,26 (12-0-14 46.15%),27 (1.04),←,
4,"Kerr, Daniel",19y 339d,46 (18-0-28 39.13%),31 (0.67),←,
33,"Matera, Phillip",27y 144d,122 (55-1-66 45.49%),245 (2.01),←,
11,"McIntosh, Ashley",30y 182d,231 (136-1-94 59.09%),108 (0.47),←,
5,"Morrison, Chad",25y 22d,124 (61-1-62 49.60%),83 (0.67),←,
28,"Sampi, Ashley",19y 89d,7 (1-0-6 14.29%),6 (0.86),←,
44,"Wirrpanda, David",23y 260d,90 (42-1-47 47.22%),49 (0.54),←,
13,"Wooden, Josh",24y 157d,79 (33-0-46 41.77%),13 (0.16),←,
Totals,Totals,24y 52d,2056 (981-13-1062 47.71%),1212 (0.59),,
C,"Worsfold, John",34y 207d,27 (13-0-14 48.15%),,←,
