Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
9,"Acres, Blake",25y 214d,90 (36-1-53 40.56%),30 (0.33),15 (7-0-8 46.67%),1 (0.07)
11,"Aish, James",25y 182d,106 (43-0-63 40.57%),24 (0.23),24 (10-0-14 41.67%),1 (0.04)
19,"Blakely, Connor",25y 68d,69 (27-0-42 39.13%),3 (0.04),←,
8,"Brayshaw, Andrew",21y 182d,64 (26-0-38 40.63%),15 (0.23),←,
33,"Colyer, Travis",29y 258d,114 (54-1-59 47.81%),69 (0.61),27 (11-0-16 40.74%),15 (0.56)
6,"Conca, Reece",28y 270d,148 (76-1-71 51.69%),25 (0.17),44 (18-0-26 40.91%),2 (0.05)
36,"Cox, Brennan",22y 269d,55 (20-0-35 36.36%),27 (0.49),←,
12,"Crowden, Mitch",22y 11d,28 (12-0-16 42.86%),10 (0.36),←,
4,"Darcy, Sean",22y 331d,48 (18-0-30 37.50%),19 (0.40),←,
44,"Duman, Taylin",23y 21d,41 (17-0-24 41.46%),1 (0.02),←,
43,"Frederick, Michael",20y 357d,17 (9-0-8 52.94%),9 (0.53),←,
7,"Fyfe, Nat",29y 233d,194 (103-1-90 53.35%),160 (0.82),←,
23,"Henry, Liam",19y 254d,6 (1-0-5 16.67%),3 (0.50),←,
37,"Lobb, Rory",28y 89d,110 (58-2-50 53.64%),90 (0.82),36 (16-0-20 44.44%),26 (0.72)
2,"Logue, Griffin",23y 26d,32 (11-0-21 34.38%),1 (0.03),←,
16,"Mundy, David",35y 293d,340 (171-1-168 50.44%),148 (0.44),←,
28,"Schultz, Lachie",23y 160d,31 (12-0-19 38.71%),26 (0.84),←,
3,"Serong, Caleb",20y 89d,22 (11-0-11 50.00%),5 (0.23),←,
20,"Taberner, Matthew",27y 326d,95 (44-0-51 46.32%),126 (1.33),←,
18,"Tucker, Darcy",24y 106d,80 (24-0-56 30.00%),33 (0.41),←,
10,"Walters, Michael",30y 122d,171 (83-1-87 48.83%),282 (1.65),←,
38,"Watson, Tobe",23y 157d,7 (3-0-4 42.86%),1 (0.14),←,
14,"Wilson, Nathan",28y 122d,138 (66-2-70 48.55%),18 (0.13),61 (26-0-35 42.62%),2 (0.03)
Totals,Totals,25y 116d,2006 (925-10-1071 46.11%),1125 (0.56),,
C,"Longmuir, Justin",40y 108d,25 (11-0-14 44.00%),,←,
