Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
38,"Atkinson, Jarrod",23y 149d,3 (1-0-2 33.33%),1 (0.33),←,
2,"Dyson, Ricky",22y 295d,58 (20-1-37 35.34%),29 (0.50),←,
19,"Hille, David",27y 47d,140 (64-1-75 46.07%),102 (0.73),←,
7,"Jetta, Leroy",20y 13d,17 (9-0-8 52.94%),10 (0.59),←,
27,"Laycock, Jason",23y 258d,54 (20-0-34 37.04%),32 (0.59),←,
18,"Lloyd, Matthew",30y 94d,246 (144-2-100 58.94%),868 (3.53),←,
36,"Lonergan, Sam",21y 115d,14 (6-0-8 42.86%),8 (0.57),←,
42,"Lovett-Murray, Nathan",25y 244d,79 (27-0-52 34.18%),44 (0.56),←,
25,"Lucas, Scott",30y 202d,255 (141-2-112 55.69%),449 (1.76),←,
33,"McPhee, Adam",25y 287d,141 (55-0-86 39.01%),69 (0.49),116 (49-0-67 42.24%),60 (0.52)
22,"Michael, Mal",31y 25d,232 (122-1-109 52.80%),31 (0.13),31 (12-0-19 38.71%),3 (0.10)
6,"Monfries, Angus",21y 182d,66 (21-1-44 32.58%),60 (0.91),←,
17,"Nash, Jay",22y 211d,35 (14-1-20 41.43%),9 (0.26),←,
1,"Neagle, Jay",20y 184d,8 (3-0-5 37.50%),11 (1.38),←,
11,"Peverill, Damien",29y 7d,139 (66-2-71 48.20%),32 (0.23),←,
9,"Ramanauskas, Adam",27y 243d,128 (82-1-45 64.45%),62 (0.48),←,
37,"Reimers, Kyle",19y 191d,16 (6-0-10 37.50%),10 (0.63),←,
30,"Ryder, Paddy",20y 127d,46 (17-1-28 38.04%),8 (0.17),←,
20,"Slattery, Henry",22y 179d,46 (17-1-28 38.04%),7 (0.15),←,
5,"Stanton, Brent",22y 79d,92 (32-1-59 35.33%),57 (0.62),←,
4,"Watson, Jobe",23y 162d,66 (25-1-40 38.64%),23 (0.35),←,
12,"Welsh, Andrew",25y 159d,129 (53-2-74 41.86%),23 (0.18),←,
Totals,Totals,24y 140d,2010 (945-18-1047 47.01%),1945 (0.97),,
C,"Knights, Matthew",37y 288d,16 (6-0-10 37.50%),,←,
