Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",20y 320d,44 (8-0-36 18.18%),24 (0.55),←,
20,"Barlow, Michael",30y 250d,141 (83-1-57 59.22%),92 (0.65),15 (5-0-10 33.33%),11 (0.73)
29,"Bowes, Jack",20y 211d,27 (5-0-22 18.52%),6 (0.22),←,
32,"Crossley, Brayden",19y 9d,10 (1-0-9 10.00%),5 (0.50),←,
8,"Fiorini, Brayden",21y 3d,26 (6-0-20 23.08%),11 (0.42),←,
5,"Harbrow, Jarrod",30y 38d,224 (81-2-141 36.61%),54 (0.24),154 (41-1-112 26.95%),33 (0.21)
40,"Heron, Jacob",18y 258d,8 (1-0-7 12.50%),2 (0.25),←,
39,"Holman, Nick",23y 88d,31 (5-0-26 16.13%),14 (0.45),22 (4-0-18 18.18%),14 (0.64)
38,"Joyce, Jesse",21y 8d,47 (12-0-35 25.53%),1 (0.02),←,
23,"Lemmens, Sean",23y 296d,79 (22-1-56 28.48%),17 (0.22),←,
21,"Leslie, Jack",23y 120d,28 (5-0-23 17.86%),1 (0.04),←,
25,"Lyons, Jarryd",26y 34d,92 (44-0-48 47.83%),49 (0.53),37 (10-0-27 27.03%),17 (0.46)
17,"May, Steven",26y 227d,123 (38-1-84 31.30%),21 (0.17),←,
11,"Miller, Touk",22y 184d,82 (17-1-64 21.34%),24 (0.29),←,
35,"Rischitelli, Michael",32y 229d,236 (80-3-153 34.53%),89 (0.38),125 (31-0-94 24.80%),42 (0.34)
18,"Scheer, Brad",19y 359d,10 (1-0-9 10.00%),1 (0.10),←,
36,"Schoenfeld, Josh",21y 53d,14 (1-0-13 7.14%),5 (0.36),←,
6,"Sexton, Alex",24y 265d,97 (25-0-72 25.77%),71 (0.73),←,
24,"Swallow, David",25y 279d,117 (31-0-86 26.50%),55 (0.47),←,
14,"Weller, Lachie",22y 183d,69 (18-0-51 26.09%),21 (0.30),22 (4-0-18 18.18%),4 (0.18)
28,"Witts, Jarrod",25y 346d,80 (28-0-52 35.00%),22 (0.28),40 (10-0-30 25.00%),4 (0.10)
15,"Young, Aaron",25y 262d,98 (42-1-55 43.37%),82 (0.84),22 (4-0-18 18.18%),20 (0.91)
Totals,Totals,23y 332d,1683 (554-10-1119 32.92%),667 (0.40),,
C,"Dew, Stuart",39y 7d,22 (4-0-18 18.18%),,←,
