Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
23,"Atkins, Simon",26y 211d,143 (65-2-76 46.15%),82 (0.57),16 (2-0-14 12.50%),6 (0.38)
32,"Baldwin, Jason",25y 257d,108 (37-0-71 34.26%),31 (0.29),←,
5,"Barker, John",20y 153d,24 (5-0-19 20.83%),2 (0.08),←,
41,"Bird, Peter",19y 173d,10 (2-0-8 20.00%),5 (0.50),←,
14,"Bizzotto, Frank",24y 53d,30 (8-0-22 26.67%),3 (0.10),←,
1,"Boyd, Brad",23y 346d,51 (15-0-36 29.41%),41 (0.80),←,
35,"Cook, Brett",22y 94d,16 (1-0-15 6.25%),4 (0.25),←,
31,"Dent, Matthew",23y 186d,22 (3-0-19 13.64%),3 (0.14),←,
17,"Hawking, Simon",22y 139d,38 (11-0-27 28.95%),3 (0.08),←,
3,"Hawkins, Doug",35y 78d,345 (146-4-195 42.90%),225 (0.65),16 (2-0-14 12.50%),9 (0.56)
10,"Hogg, Jeff",28y 280d,169 (45-0-124 26.63%),340 (2.01),25 (4-0-21 16.00%),34 (1.36)
2,"Johnson, Chris",19y 53d,32 (6-0-26 18.75%),45 (1.41),←,
36,"Lamb, Wayne",22y 276d,12 (0-1-11 4.17%),5 (0.42),10 (0-0-10 0.00%),5 (0.50)
30,"Manson, James",28y 262d,161 (83-3-75 52.48%),124 (0.77),41 (13-0-28 31.71%),18 (0.44)
25,"McCarthy, John",28y 114d,143 (51-1-91 36.01%),167 (1.17),51 (13-0-38 25.49%),66 (1.29)
34,"Morton, Danny",22y 21d,10 (3-0-7 30.00%),5 (0.50),←,
4,"Paxman, Stephen",24y 230d,75 (21-0-54 28.00%),14 (0.19),←,
29,"Payne, Darren",21y 21d,5 (0-0-5 0.00%),1 (0.20),←,
22,"Stretch, Steven",31y 198d,187 (94-1-92 50.53%),77 (0.41),23 (4-0-19 17.39%),6 (0.26)
33,"Warfe, Rowan",19y 29d,9 (1-0-8 11.11%),1 (0.11),←,
16,"Zanotti, Mark",30y 256d,151 (43-0-108 28.48%),19 (0.13),51 (15-0-36 29.41%),8 (0.16)
Totals,Totals,24y 285d,1741 (640-12-1089 36.76%),1197 (0.69),,
C,"Quinlan, Bernie",44y 1d,16 (2-0-14 12.50%),,←,
