North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
25,"Curtis, Paul",22y 121d,72 (10-0-62 13.89%),85 (1.18),←,
5,"Daniel, Caleb",28y 361d,208 (109-1-98 52.64%),49 (0.24),16 (4-1-11 28.13%),
9,"Davies-Uniacke, Luke",26y 25d,124 (25-2-97 20.97%),46 (0.37),←,
18,"Dawson, Wil",19y 195d,5 (1-0-4 20.00%),,←,
7,"Duursma, Zane",19y 309d,20 (2-1-17 12.50%),13 (0.65),←,
46,"Hansen, Robert",21y 112d,17 (4-0-13 23.53%),7 (0.41),←,
17,"Hardeman, Riley",20y 126d,15 (3-1-11 23.33%),,←,
37,"Harvey, Cooper",20y 356d,4 (0-0-4 0.00%),2 (0.50),←,
41,"Konstanty, Jacob",20y 236d,16 (4-1-11 28.13%),10 (0.63),←,
20,"Larkey, Nick",27y 27d,133 (27-2-104 21.05%),275 (2.07),←,
19,"Logue, Griffin",27y 81d,90 (32-1-57 36.11%),10 (0.11),26 (4-0-22 15.38%),1 (0.04)
39,"Maley, Finnbar",21y 350d,5 (1-1-3 30.00%),3 (0.60),←,
10,"McKercher, Colby",20y 82d,32 (6-1-25 20.31%),9 (0.28),←,
2,"OSullivan, Finn",19y 34d,15 (4-1-10 30.00%),1 (0.07),←,
29,"Phillips, Will",23y 42d,48 (9-0-39 18.75%),8 (0.17),←,
32,"Pink, Toby",26y 326d,25 (7-1-17 30.00%),7 (0.28),←,
24,"Powell, Tom",23y 123d,84 (13-2-69 16.67%),29 (0.35),←,
8,"Scott, Bailey",24y 359d,109 (14-2-93 13.76%),34 (0.31),←,
3,"Sheezel, Harry",20y 263d,60 (10-1-49 17.50%),21 (0.35),←,
12,"Simpkin, Jy",27y 120d,168 (44-2-122 26.79%),72 (0.43),←,
15,"Stephens, Dylan",24y 176d,74 (31-1-42 42.57%),14 (0.19),31 (6-1-24 20.97%),3 (0.10)
38,"Xerri, Tristan",26y 110d,72 (13-2-57 19.44%),25 (0.35),←,
44,"Zurhaar, Cameron",27y 42d,137 (31-2-104 23.36%),191 (1.39),←,
Totals,Totals,23y 173d,1533 (400-25-1108 26.09%),911 (0.59),,
C,"Clarkson, Alastair",57y 67d,442 (238-5-199 54.41%),,52 (10-1-41 20.19%),
