Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Amon, Karl",28y 226d,148 (79-0-69 53.38%),65 (0.44),24 (6-0-18 25.00%),10 (0.42)
22,"Breust, Luke",33y 142d,284 (170-2-112 60.21%),529 (1.86),←,
18,"Chol, Mabior",27y 63d,64 (32-1-31 50.78%),83 (1.30),3 (0-0-3 0.00%),5 (1.67)
16,"DAmbrosio, Massimo",20y 301d,19 (9-0-10 47.37%),5 (0.26),3 (0-0-3 0.00%),
8,"Frost, Sam",30y 217d,162 (56-2-104 35.19%),9 (0.06),71 (20-2-49 29.58%),1 (0.01)
33,"Ginnivan, Jack",21y 114d,45 (31-0-14 68.89%),61 (1.36),3 (0-0-3 0.00%),3 (1.00)
15,"Hardwick, Blake",27y 56d,150 (63-2-85 42.67%),8 (0.05),←,
44,"Hustwaite, Henry",19y 256d,3 (0-0-3 0.00%),2 (0.67),←,
4,"Impey, Jarman",28y 267d,175 (80-0-95 45.71%),61 (0.35),100 (40-0-60 40.00%),27 (0.27)
2,"Lewis, Mitch",25y 170d,69 (25-2-42 37.68%),123 (1.78),←,
31,"Macdonald, Connor",21y 79d,44 (14-0-30 31.82%),23 (0.52),←,
28,"Mackenzie, Cam",20y 71d,17 (5-0-12 29.41%),5 (0.29),←,
17,"Meek, Lloyd",25y 345d,32 (14-0-18 43.75%),6 (0.19),17 (5-0-12 29.41%),3 (0.18)
13,"Moore, Dylan",24y 241d,78 (24-1-53 31.41%),77 (0.99),←,
1,"Morrison, Harry",25y 141d,92 (36-1-55 39.67%),23 (0.25),←,
11,"Nash, Conor",25y 248d,76 (29-1-46 38.82%),16 (0.21),←,
3,"Newcombe, Jai",22y 243d,54 (18-2-34 35.19%),21 (0.39),←,
14,"Scrimshaw, Jack",25y 210d,86 (28-1-57 33.14%),11 (0.13),82 (28-1-53 34.76%),11 (0.13)
6,"Sicily, James",29y 86d,137 (65-1-71 47.81%),61 (0.45),←,
25,"Ward, Josh",20y 228d,33 (11-0-22 33.33%),4 (0.12),←,
34,"Watson, Nick",19y 37d,3 (0-0-3 0.00%),2 (0.67),←,
23,"Weddle, Josh",19y 312d,20 (6-0-14 30.00%),5 (0.25),←,
5,"Worpel, James",25y 68d,105 (39-2-64 38.10%),41 (0.39),←,
Totals,Totals,24y 259d,1896 (834-18-1044 43.99%),1241 (0.65),,
C,"Mitchell, Sam",41y 172d,48 (15-0-33 31.25%),,←,
