Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",25y 265d,116 (47-2-67 41.38%),32 (0.28),←,
18,"Banfield, Todd",21y 40d,38 (9-0-29 23.68%),48 (1.26),←,
20,"Black, Simon",32y 126d,292 (161-4-127 55.82%),162 (0.55),←,
33,"Buchanan, Amon",28y 301d,132 (68-2-62 52.27%),66 (0.50),16 (2-0-14 12.50%),9 (0.56)
1,"Clark, Mitch",23y 292d,80 (30-2-48 38.75%),59 (0.74),←,
44,"Cornelius, Aaron",21y 70d,10 (1-0-9 10.00%),15 (1.50),←,
27,"Dyson, Josh",19y 360d,1 (0-0-1 0.00%),,←,
11,"Hanley, Pearce",22y 265d,30 (6-0-24 20.00%),5 (0.17),←,
12,"Hawksley, James",22y 183d,26 (8-1-17 32.69%),3 (0.12),←,
28,"Karnezis, Patrick",19y 106d,7 (1-0-6 14.29%),13 (1.86),←,
23,"Leuenberger, Matthew",23y 61d,62 (21-1-40 34.68%),8 (0.13),←,
9,"McGrath, Ashley",28y 79d,172 (84-2-86 49.42%),129 (0.75),←,
40,"McKeever, Niall",22y 172d,6 (1-0-5 16.67%),,←,
24,"Patfull, Joel",26y 243d,117 (46-3-68 40.60%),21 (0.18),←,
31,"Polkinghorne, James",22y 198d,57 (21-1-35 37.72%),32 (0.56),←,
6,"Power, Luke",31y 211d,279 (151-3-125 54.66%),224 (0.80),←,
29,"Raines, Andrew",25y 152d,78 (23-1-54 30.13%),1 (0.01),22 (5-0-17 22.73%),
30,"Redden, Jack",20y 241d,50 (16-1-33 33.00%),22 (0.44),←,
38,"Rockliff, Tom",21y 166d,36 (7-0-29 19.44%),12 (0.33),←,
3,"Sheldon, Sam",22y 152d,36 (16-1-19 45.83%),6 (0.17),←,
14,"Staker, Brent",27y 76d,136 (71-1-64 52.57%),94 (0.69),26 (7-0-19 26.92%),10 (0.38)
32,"Stiller, Cheynee",25y 96d,93 (36-3-54 40.32%),20 (0.22),←,
Totals,Totals,24y 109d,1854 (824-28-1002 44.44%),972 (0.52),,
C,"Voss, Michael",36y 31d,64 (24-1-39 38.28%),,←,
