Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",26y 134d,131 (42-1-88 32.44%),110 (0.84),←,
15,"Anderson, Noah",23y 127d,95 (35-1-59 37.37%),38 (0.40),←,
31,"Andrew, Mac",20y 202d,32 (13-0-19 40.63%),,←,
10,"Ballard, Charlie",24y 336d,124 (40-1-83 32.66%),2 (0.02),←,
16,"Berry, Tom",23y 53d,40 (25-0-15 62.50%),6 (0.15),20 (10-0-10 50.00%),3 (0.15)
33,"Clohesy, Sam",21y 194d,11 (5-0-6 45.45%),6 (0.55),←,
25,"Collins, Sam",30y 8d,118 (44-1-73 37.71%),,104 (41-1-62 39.90%),
12,"Day, Sam",31y 291d,153 (45-2-106 30.07%),114 (0.75),←,
4,"Ellis, Brandon",30y 325d,251 (137-2-112 54.98%),85 (0.34),75 (28-1-46 38.00%),27 (0.36)
3,"Flanders, Sam",22y 335d,57 (20-1-36 35.96%),15 (0.26),←,
26,"Graham, Will",18y 332d,8 (3-0-5 37.50%),2 (0.25),←,
19,"Humphrey, Bailey",19y 286d,31 (15-0-16 48.39%),21 (0.68),←,
40,"Jeffrey, Joel",22y 103d,22 (11-0-11 50.00%),16 (0.73),←,
22,"Long, Ben",26y 307d,102 (42-1-59 41.67%),44 (0.43),23 (10-0-13 43.48%),13 (0.57)
13,"Lukosius, Jack",23y 319d,109 (37-1-71 34.40%),70 (0.64),←,
11,"Miller, Touk",28y 122d,187 (53-2-132 28.88%),55 (0.29),←,
27,"Powell, Wil",24y 302d,96 (36-1-59 38.02%),13 (0.14),←,
29,"Rogers, Jake",19y 113d,6 (2-0-4 33.33%),2 (0.33),←,
18,"Rowell, Matt",22y 358d,76 (32-0-44 42.11%),24 (0.32),←,
6,"Sexton, Alex",30y 203d,175 (49-0-126 28.00%),163 (0.93),←,
24,"Swallow, David",31y 217d,233 (70-1-162 30.26%),109 (0.47),←,
32,"Uwland, Bodhi",20y 334d,15 (7-0-8 46.67%),,←,
28,"Witts, Jarrod",31y 284d,175 (61-1-113 35.14%),36 (0.21),135 (43-1-91 32.22%),18 (0.13)
Totals,Totals,25y 39d,2247 (824-16-1407 36.67%),931 (0.41),,
C,"Hardwick, Damien",51y 310d,321 (177-6-138 56.07%),,14 (7-0-7 50.00%),
