Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",26y 28d,118 (36-1-81 30.93%),98 (0.83),←,
15,"Anderson, Noah",23y 21d,82 (29-1-52 35.98%),29 (0.35),←,
10,"Ballard, Charlie",24y 230d,111 (34-1-76 31.08%),2 (0.02),←,
16,"Berry, Tom",22y 313d,27 (19-0-8 70.37%),3 (0.11),7 (4-0-3 57.14%),
35,"Budarick, Connor",22y 338d,29 (12-1-16 43.10%),1 (0.03),←,
30,"Casboult, Levi",33y 360d,196 (65-1-130 33.42%),215 (1.10),42 (17-0-25 40.48%),59 (1.40)
25,"Collins, Sam",29y 268d,105 (38-1-66 36.67%),,91 (35-1-55 39.01%),
4,"Ellis, Brandon",30y 219d,248 (136-2-110 55.24%),84 (0.34),72 (27-1-44 38.19%),26 (0.36)
8,"Fiorini, Brayden",26y 200d,94 (26-1-67 28.19%),29 (0.31),←,
3,"Flanders, Sam",22y 229d,45 (14-1-30 32.22%),14 (0.31),←,
7,"Holman, Nick",28y 285d,111 (36-0-75 32.43%),63 (0.57),102 (35-0-67 34.31%),63 (0.62)
19,"Humphrey, Bailey",19y 180d,20 (9-0-11 45.00%),11 (0.55),←,
34,"King, Ben",23y 246d,74 (22-1-51 30.41%),134 (1.81),←,
13,"Lukosius, Jack",23y 213d,96 (31-1-64 32.81%),59 (0.61),←,
44,"Macpherson, Darcy",26y 132d,96 (29-0-67 30.21%),29 (0.30),←,
11,"Miller, Touk",28y 16d,174 (47-2-125 27.59%),51 (0.29),←,
27,"Powell, Wil",24y 196d,88 (33-1-54 38.07%),13 (0.15),←,
41,"Rosas, Malcolm",22y 256d,39 (18-0-21 46.15%),36 (0.92),←,
18,"Rowell, Matt",22y 252d,63 (26-0-37 41.27%),17 (0.27),←,
6,"Sexton, Alex",30y 97d,167 (45-0-122 26.95%),162 (0.97),←,
24,"Swallow, David",31y 111d,221 (65-1-155 29.64%),100 (0.45),←,
32,"Uwland, Bodhi",20y 228d,4 (2-0-2 50.00%),,←,
28,"Witts, Jarrod",31y 178d,166 (57-1-108 34.64%),33 (0.20),126 (39-1-86 31.35%),15 (0.12)
Totals,Totals,25y 343d,2374 (829-17-1528 34.92%),1183 (0.50),,
C,"Hardwick, Damien",51y 204d,308 (171-6-131 56.49%),,1 (1-0-0 100.00%),
