Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
41,"Adkins, Damien",19y 209d,18 (7-0-11 38.89%),8 (0.44),←,
49,"Betheras, Rupert",24y 256d,38 (10-0-28 26.32%),12 (0.32),←,
26,"Brown, Gavin",32y 315d,254 (114-5-135 45.87%),195 (0.77),←,
5,"Buckley, Nathan",28y 10d,163 (58-2-103 36.20%),173 (1.06),143 (54-2-87 38.46%),152 (1.06)
17,"Burns, Scott",25y 226d,105 (38-1-66 36.67%),45 (0.43),←,
28,"Crosisca, Gavin",31y 325d,246 (121-5-120 50.20%),64 (0.26),←,
40,"Davis, Leon",19y 49d,15 (4-0-11 26.67%),11 (0.73),←,
19,"Davis, Nick",20y 128d,30 (7-0-23 23.33%),18 (0.60),←,
46,"Dimattina, Andrew",22y 270d,10 (2-0-8 20.00%),3 (0.30),←,
25,"Fraser, Josh",18y 213d,21 (7-0-14 33.33%),5 (0.24),←,
31,"Johnson, Ben",19y 122d,14 (6-0-8 42.86%),7 (0.50),←,
30,"Kinnear, Ben",21y 160d,29 (9-0-20 31.03%),4 (0.14),←,
33,"Lane, Tyson",23y 346d,47 (16-0-31 34.04%),45 (0.96),28 (7-0-21 25.00%),26 (0.93)
18,"Licuria, Paul",22y 214d,45 (11-0-34 24.44%),11 (0.24),35 (9-0-26 25.71%),9 (0.26)
24,"Lockyer, Tarkyn",20y 280d,36 (11-0-25 30.56%),8 (0.22),←,
48,"Michael, Mal",23y 42d,61 (21-0-40 34.43%),23 (0.38),←,
11,"OBree, Shane",21y 143d,41 (16-0-25 39.02%),15 (0.37),22 (7-0-15 31.82%),12 (0.55)
35,"Prestigiacomo, Simon",22y 187d,69 (21-0-48 30.43%),2 (0.03),←,
3,"Richardson, Mark",27y 279d,118 (47-1-70 40.25%),76 (0.64),←,
23,"Rocca, Anthony",22y 356d,98 (37-0-61 37.76%),127 (1.30),76 (26-0-50 34.21%),116 (1.53)
20,"Tarrant, Chris",19y 322d,43 (13-0-30 30.23%),46 (1.07),←,
10,"Williams, Paul",27y 124d,189 (81-2-106 43.39%),223 (1.18),←,
Totals,Totals,23y 175d,1690 (657-16-1017 38.88%),1121 (0.66),,
C,"Malthouse, Mick",46y 354d,400 (230-4-166 58.00%),,22 (7-0-15 31.82%),
