Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",23y 141d,67 (15-1-51 23.13%),48 (0.72),←,
10,"Ballard, Charlie",21y 343d,62 (14-1-47 23.39%),1 (0.02),←,
3,"Bowes, Jack",23y 156d,72 (17-1-54 24.31%),14 (0.19),←,
29,"Burgess, Chris",25y 217d,26 (7-0-19 26.92%),12 (0.46),←,
25,"Collins, Sam",27y 16d,52 (16-1-35 31.73%),,38 (13-1-24 35.53%),
19,"Corbett, Josh",25y 69d,26 (5-1-20 21.15%),22 (0.85),←,
12,"Day, Sam",28y 298d,142 (39-2-101 28.17%),98 (0.69),←,
4,"Ellis, Brandon",27y 332d,207 (118-2-87 57.49%),67 (0.32),31 (9-1-21 30.65%),9 (0.29)
8,"Fiorini, Brayden",23y 313d,55 (11-1-43 20.91%),18 (0.33),←,
26,"Flanders, Sam",19y 342d,17 (5-1-11 32.35%),5 (0.29),←,
39,"Holman, Nick",26y 33d,69 (17-0-52 24.64%),30 (0.43),60 (16-0-44 26.67%),30 (0.50)
34,"King, Ben",20y 359d,46 (10-1-35 22.83%),80 (1.74),←,
23,"Lemmens, Sean",26y 241d,107 (28-2-77 27.10%),25 (0.23),←,
13,"Lukosius, Jack",20y 326d,53 (13-1-39 25.47%),9 (0.17),←,
44,"Macpherson, Darcy",23y 245d,58 (13-0-45 22.41%),26 (0.45),←,
17,"Markov, Oleg",25y 54d,38 (17-0-21 44.74%),4 (0.11),15 (5-0-10 33.33%),1 (0.07)
11,"Miller, Touk",25y 129d,131 (30-2-99 23.66%),35 (0.27),←,
27,"Powell, Wil",21y 309d,50 (14-1-35 29.00%),11 (0.22),←,
22,"Rankine, Izak",21y 69d,27 (7-1-19 27.78%),28 (1.04),←,
18,"Rowell, Matt",20y,10 (4-0-6 40.00%),6 (0.60),←,
6,"Sexton, Alex",27y 210d,147 (38-0-109 25.85%),141 (0.96),←,
37,"Sharp, Jeremy",19y 322d,4 (1-0-3 25.00%),1 (0.25),←,
24,"Swallow, David",28y 224d,168 (43-1-124 25.89%),77 (0.46),←,
Totals,Totals,24y 48d,1634 (482-20-1132 29.50%),758 (0.46),,
C,"Dew, Stuart",41y 317d,76 (17-1-58 23.03%),,←,
