Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",24y 86d,82 (20-1-61 25.00%),61 (0.74),←,
10,"Ballard, Charlie",22y 288d,77 (19-1-57 25.32%),1 (0.01),←,
35,"Budarick, Connor",21y 31d,20 (7-1-12 37.50%),1 (0.05),←,
30,"Casboult, Levi",32y 53d,162 (51-1-110 31.79%),174 (1.07),8 (3-0-5 37.50%),18 (2.25)
1,"Chol, Mabior",25y 98d,39 (22-1-16 57.69%),39 (1.00),8 (3-0-5 37.50%),15 (1.88)
25,"Collins, Sam",27y 326d,67 (21-1-45 32.09%),,53 (18-1-34 34.91%),
5,"Davies, Alex",20y 50d,9 (3-0-6 33.33%),2 (0.22),←,
4,"Ellis, Brandon",28y 277d,218 (123-2-93 56.88%),69 (0.32),42 (14-1-27 34.52%),11 (0.26)
50,"Farrar, Jy",25y 151d,15 (6-0-9 40.00%),1 (0.07),←,
8,"Fiorini, Brayden",24y 258d,70 (16-1-53 23.57%),21 (0.30),←,
7,"Holman, Nick",26y 343d,79 (21-0-58 26.58%),41 (0.52),70 (20-0-50 28.57%),41 (0.59)
23,"Lemmens, Sean",27y 186d,122 (33-2-87 27.87%),25 (0.20),←,
13,"Lukosius, Jack",21y 271d,66 (18-1-47 28.03%),13 (0.20),←,
44,"Macpherson, Darcy",24y 190d,66 (16-0-50 24.24%),26 (0.39),←,
11,"Miller, Touk",26y 74d,146 (35-2-109 24.66%),44 (0.30),←,
27,"Powell, Wil",22y 254d,64 (19-1-44 30.47%),12 (0.19),←,
22,"Rankine, Izak",22y 14d,36 (11-1-24 31.94%),36 (1.00),←,
41,"Rosas, Malcolm",20y 314d,8 (3-0-5 37.50%),4 (0.50),←,
18,"Rowell, Matt",20y 310d,25 (9-0-16 36.00%),8 (0.32),←,
24,"Swallow, David",29y 169d,183 (48-1-134 26.50%),80 (0.44),←,
16,"Thompson, Rory",31y 56d,104 (31-1-72 30.29%),7 (0.07),←,
14,"Weller, Lachie",26y 73d,123 (32-1-90 26.42%),44 (0.36),76 (18-1-57 24.34%),27 (0.36)
28,"Witts, Jarrod",29y 236d,130 (40-1-89 31.15%),26 (0.20),90 (22-1-67 25.00%),8 (0.09)
Totals,Totals,25y 115d,1911 (604-20-1287 31.61%),735 (0.38),,
C,"Dew, Stuart",42y 262d,91 (22-1-68 24.73%),,←,
