Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",33y 155d,288 (169-0-119 58.68%),139 (0.48),←,
16,"Brown, Leigh",24y 184d,149 (59-1-89 39.93%),56 (0.38),86 (40-1-45 47.09%),36 (0.42)
24,"Firrito, Michael",22y 272d,57 (29-0-28 50.88%),12 (0.21),←,
15,"Green, Kasey",26y 350d,75 (28-1-46 38.00%),20 (0.27),21 (7-0-14 33.33%),12 (0.57)
31,"Hale, David",22y 96d,58 (24-0-34 41.38%),29 (0.50),←,
39,"Harding, Leigh",25y 122d,89 (44-1-44 50.00%),123 (1.38),←,
4,"Harris, Daniel",24y 108d,90 (43-1-46 48.33%),28 (0.31),←,
29,"Harvey, Brent",28y 104d,215 (120-1-94 56.05%),245 (1.14),←,
21,"Jones, Corey",25y 181d,102 (46-0-56 45.10%),116 (1.14),←,
25,"Lower, Ed",19y 64d,4 (1-0-3 25.00%),1 (0.25),←,
5,"McConnell, Daniel",20y 66d,5 (1-0-4 20.00%),,3 (0-0-3 0.00%),
1,"McIntosh, Hamish",21y 356d,17 (5-0-12 29.41%),8 (0.47),←,
18,"Moran, Brad",19y 331d,1 (0-0-1 0.00%),,←,
20,"Petrie, Drew",23y 315d,105 (49-1-55 47.14%),73 (0.70),←,
3,"Rawlings, Brady",25y 77d,132 (67-0-65 50.76%),51 (0.39),←,
27,"Rawlings, Jade",28y 321d,148 (67-0-81 45.27%),96 (0.65),3 (0-0-3 0.00%),2 (0.67)
32,"Sansbury, Eddie",22y 273d,26 (9-0-17 34.62%),7 (0.27),←,
9,"Sinclair, Jess",28y,160 (61-1-98 38.44%),61 (0.38),110 (48-1-61 44.09%),35 (0.32)
19,"Swallow, Andrew",19y 85d,11 (3-0-8 27.27%),2 (0.18),←,
23,"Thompson, Nathan",28y 193d,163 (75-1-87 46.32%),298 (1.83),44 (20-0-24 45.45%),106 (2.41)
36,"Watt, Shannon",25y 273d,107 (53-1-53 50.00%),7 (0.07),←,
8,"Wells, Daniel",21y 204d,83 (40-1-42 48.80%),46 (0.55),←,
Totals,Totals,24y 171d,2085 (993-10-1082 47.63%),1418 (0.68),,
C,"Laidley, Dani",39y 152d,88 (41-1-46 47.16%),,←,
