Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Batchelor, Jake",24y 83d,78 (41-2-35 53.85%),4 (0.05),←,
46,"Castagna, Jason",19y 299d,2 (0-0-2 0.00%),,←,
25,"Chaplin, Troy",30y 73d,212 (97-1-114 45.99%),15 (0.07),72 (42-0-30 58.33%),5 (0.07)
3,"Deledio, Brett",29y 18d,234 (104-5-125 45.51%),174 (0.74),←,
10,"Edwards, Shane",27y 194d,174 (73-5-96 43.39%),117 (0.67),←,
5,"Ellis, Brandon",22y 277d,95 (51-1-43 54.21%),35 (0.37),←,
32,"Ellis, Corey",19y 210d,13 (5-0-8 38.46%),4 (0.31),←,
24,"Griffiths, Ben",24y 232d,51 (28-0-23 54.90%),29 (0.57),←,
6,"Grigg, Shaun",28y 17d,153 (73-2-78 48.37%),71 (0.46),110 (55-2-53 50.91%),61 (0.55)
16,"Hampson, Shaun",28y 46d,84 (40-1-43 48.21%),34 (0.40),21 (6-0-15 28.57%),2 (0.10)
14,"Houli, Bachar",27y 360d,144 (70-3-71 49.65%),33 (0.23),118 (60-2-56 51.69%),24 (0.20)
27,"Lloyd, Sam",26y 64d,27 (12-0-15 44.44%),35 (1.30),←,
4,"Martin, Dustin",24y 315d,138 (65-2-71 47.83%),144 (1.04),←,
33,"McIntosh, Kamdyn",22y 33d,29 (16-0-13 55.17%),8 (0.28),←,
37,"Menadue, Connor",19y 230d,12 (5-0-7 41.67%),3 (0.25),←,
26,"Miles, Anthony",24y 68d,52 (26-0-26 50.00%),17 (0.33),42 (25-0-17 59.52%),16 (0.38)
38,"Morris, Steven",27y 127d,82 (44-1-37 54.27%),11 (0.13),←,
8,"Riewoldt, Jack",27y 188d,187 (82-4-101 44.92%),454 (2.43),←,
17,"Rioli, Daniel",19y 20d,6 (1-0-5 16.67%),4 (0.67),←,
45,"Short, Jayden",20y 103d,3 (0-0-3 0.00%),5 (1.67),←,
29,"Vickery, Ty",25y 341d,109 (50-2-57 46.79%),146 (1.34),←,
1,"Vlastuin, Nick",22y 17d,66 (37-0-29 56.06%),16 (0.24),←,
Totals,Totals,24y 217d,1951 (920-29-1002 47.16%),1359 (0.70),,
C,"Hardwick, Damien",43y 262d,142 (67-2-73 47.89%),,←,
