Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 112d,25 (13-1-11 54.00%),23 (0.92),←,
10,"Ashcroft, Marcus",24y 264d,138 (43-2-93 31.88%),79 (0.57),←,
25,"Bews, Andrew",31y 332d,255 (132-2-121 52.16%),134 (0.53),48 (22-1-25 46.88%),2 (0.04)
1,"Champion, Richard",28y 62d,105 (34-2-69 33.33%),34 (0.32),←,
16,"Clarke, Matthew",22y 271d,55 (26-1-28 48.18%),6 (0.11),←,
14,"Dickfos, Danny",25y 259d,11 (7-1-3 68.18%),,←,
6,"Fletcher, Adrian",26y 249d,117 (53-1-63 45.73%),63 (0.54),72 (28-1-43 39.58%),43 (0.60)
8,"Gowers, Andrew",27y 65d,115 (70-1-44 61.30%),56 (0.49),26 (11-1-14 44.23%),2 (0.08)
27,"Keating, Clark",20y 88d,5 (3-1-1 70.00%),2 (0.40),←,
41,"Kennedy, Matthew",26y 132d,100 (30-1-69 30.50%),24 (0.24),←,
18,"Lambert, Craig",27y 254d,163 (51-1-111 31.60%),69 (0.42),40 (18-1-21 46.25%),16 (0.40)
44,"Lappin, Nigel",19y 360d,47 (22-1-24 47.87%),35 (0.74),←,
23,"Leppitsch, Justin",20y 258d,35 (15-1-19 44.29%),37 (1.06),←,
11,"Lynch, Alastair",27y 362d,142 (55-0-87 38.73%),235 (1.65),22 (11-0-11 50.00%),62 (2.82)
42,"Lynch, Tristan",22y 298d,10 (6-1-3 65.00%),1 (0.10),←,
2,"McAdam, Gilbert",29y 77d,100 (53-2-45 54.00%),83 (0.83),47 (23-1-23 50.00%),35 (0.74)
7,"McIvor, Scott",29y 311d,187 (67-1-119 36.10%),90 (0.48),132 (41-1-90 31.44%),75 (0.57)
4,"McRae, Craig",22y 267d,29 (14-0-15 48.28%),35 (1.21),←,
22,"Scott, Chris",20y 43d,44 (20-1-23 46.59%),20 (0.45),←,
3,"Voss, Michael",20y 344d,66 (28-1-37 43.18%),57 (0.86),←,
33,"White, Darryl",23y 3d,78 (30-2-46 39.74%),87 (1.12),←,
Totals,Totals,24y 245d,1827 (772-24-1031 42.26%),1170 (0.64),,
C,"Northey, John",52y 352d,267 (135-3-129 51.12%),,11 (7-1-3 68.18%),
