North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
21,"Coleman-Jones, Callum",24y 26d,27 (5-1-21 20.37%),20 (0.74),18 (1-0-17 5.56%),9 (0.50)
4,"Corr, Aidan",29y 53d,132 (50-3-79 39.02%),2 (0.02),34 (3-0-31 8.82%),
25,"Curtis, Paul",20y 127d,29 (3-0-26 10.34%),19 (0.66),←,
9,"Davies-Uniacke, Luke",24y 31d,80 (18-1-61 23.13%),27 (0.34),←,
40,"Ford, Eddie",21y 18d,15 (0-0-15 0.00%),7 (0.47),←,
18,"Greenwood, Hugh",31y 125d,116 (44-2-70 38.79%),50 (0.43),33 (4-0-29 12.12%),5 (0.15)
37,"Harvey, Cooper",18y 362d,1 (0-0-1 0.00%),1 (1.00),←,
20,"Larkey, Nick",25y 33d,87 (19-1-67 22.41%),164 (1.89),←,
35,"Lazzaro, Charlie",21y 106d,27 (4-0-23 14.81%),3 (0.11),←,
19,"Logue, Griffin",25y 87d,79 (30-1-48 38.61%),10 (0.13),15 (2-0-13 13.33%),1 (0.07)
11,"McDonald, Luke",28y 150d,175 (67-0-108 38.29%),18 (0.10),←,
23,"McKay, Ben",25y 197d,64 (7-1-56 11.72%),1 (0.02),←,
39,"Perez, Flynn",21y 318d,22 (1-0-21 4.55%),1 (0.05),←,
8,"Scott, Bailey",23y,71 (8-1-62 11.97%),26 (0.37),←,
3,"Sheezel, Harry",18y 269d,16 (2-0-14 12.50%),3 (0.19),←,
12,"Simpkin, Jy",25y 126d,129 (36-1-92 28.29%),48 (0.37),←,
2,"Stephenson, Jaidyn",24y 175d,105 (40-1-64 38.57%),120 (1.14),51 (6-1-44 12.75%),44 (0.86)
26,"Thomas, Tarryn",23y 106d,62 (17-1-44 28.23%),51 (0.82),←,
13,"Tucker, Darcy",26y 167d,119 (42-0-77 35.29%),39 (0.33),11 (0-0-11 0.00%),4 (0.36)
38,"Xerri, Tristan",24y 116d,26 (5-1-20 21.15%),10 (0.38),←,
17,"Young, Lachie",24y 94d,44 (8-1-35 19.32%),2 (0.05),36 (4-1-31 12.50%),1 (0.03)
7,"Ziebell, Jack",32y 131d,274 (112-1-161 41.06%),182 (0.66),←,
44,"Zurhaar, Cameron",25y 48d,98 (24-1-73 25.00%),133 (1.36),←,
Totals,Totals,24y 188d,1798 (542-18-1238 30.14%),937 (0.52),,
C,"Ratten, Brett",51y 363d,195 (94-1-100 48.46%),,7 (0-0-7 0.00%),
