Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
6,"Caldwell, Jye",23y 177d,57 (21-0-36 36.84%),19 (0.33),46 (18-0-28 39.13%),18 (0.39)
13,"Cox, Nik",22y 68d,35 (13-0-22 37.14%),11 (0.31),←,
33,"Davey, Alwyn",20y 26d,11 (5-0-6 45.45%),4 (0.36),←,
2,"Draper, Sam",25y 177d,58 (21-0-37 36.21%),26 (0.45),←,
22,"Durham, Sam",22y 258d,51 (22-0-29 43.14%),12 (0.24),←,
28,"Duursma, Xavier",23y 260d,75 (48-0-27 64.00%),33 (0.44),2 (1-0-1 50.00%),
17,"Goldstein, Todd",35y 266d,317 (131-2-184 41.64%),158 (0.50),2 (1-0-1 50.00%),1 (0.50)
11,"Gresham, Jade",26y 212d,138 (65-1-72 47.46%),140 (1.01),2 (1-0-1 50.00%),4 (2.00)
21,"Heppell, Dyson",31y 314d,237 (111-2-124 47.26%),67 (0.28),←,
19,"Hind, Nick",29y 217d,81 (34-0-47 41.98%),26 (0.32),60 (25-0-35 41.67%),9 (0.15)
8,"Hobbs, Ben",20y 189d,36 (13-0-23 36.11%),14 (0.39),←,
4,"Langford, Kyle",27y 113d,132 (55-1-76 42.05%),133 (1.01),←,
15,"Laverde, Jayden",27y 346d,111 (48-0-63 43.24%),38 (0.34),←,
37,"Martin, Nic",22y 355d,46 (19-0-27 41.30%),36 (0.78),←,
1,"McGrath, Andrew",25y 295d,136 (64-1-71 47.43%),19 (0.14),←,
32,"McKay, Ben",26y 90d,73 (9-1-63 13.01%),1 (0.01),2 (1-0-1 50.00%),
47,"Menzie, Jye",21y 147d,25 (13-0-12 52.00%),25 (1.00),←,
7,"Merrett, Zach",28y 172d,208 (89-2-117 43.27%),66 (0.32),←,
16,"Perkins, Archie",21y 363d,64 (27-0-37 42.19%),45 (0.70),←,
12,"Setterfield, Will",26y 47d,69 (27-0-42 39.13%),14 (0.20),12 (5-0-7 41.67%),2 (0.17)
25,"Stringer, Jake",29y 333d,191 (94-0-97 49.21%),332 (1.74),102 (46-0-56 45.10%),172 (1.69)
5,"Tsatas, Elijah",19y 157d,6 (3-0-3 50.00%),1 (0.17),←,
20,"Wright, Peter",27y 197d,121 (35-0-86 28.93%),190 (1.57),55 (22-0-33 40.00%),105 (1.91)
Totals,Totals,25y 192d,2278 (967-10-1301 42.45%),1410 (0.62),,
C,"Scott, Brad",47y 325d,236 (118-0-118 50.00%),,25 (12-0-13 48.00%),
